Organization,Status,Association Type,Date,Description ,Link 1,Link 2,Auto Increment
African Literature Association,Passed,Academic,7/1/2014,<p>Passed at Johannesburg Meeting July 2014</p>,http://africanlit.org/about-the-ala/ala-resolutions-and-executive-letters/,,2
American Anthropological Association,Passed,Academic,6/7/2016,"<p>Failed by member-wide vote. Fifty one percent of AAA’s eligible members voted, with 2,423 members opposing the resolution, and 2,384 voting to support it.
</p>",http://www.americananthro.org/StayInformed/NewsDetail.aspx?ItemNumber=14768,http://s3.amazonaws.com/rdcms-aaa/files/production/public/AAA%20Resolution%20to%20Boycott%20Israeli%20Academic%20Institutions%20w-submitters%20for%20posting.pdf,1
American Anthropological Association,In Consideration,Academic,3/15/2023,"<p>A petition was submitted to the AAA Executive Board to put forward a <a href=""https://amchainitiative.org/wp-content/uploads/2023/04/2023-AAA-Resolution-to-Boycott-Israeli-Academic-Institutions.pdf"" target=""_blank"">resolution</a> to boycott Israeli academic institutions, which met the requirement of 50 members of good standing signing the petition. The Board will put the resolution to an electronic vote before all AAA members June 15 – 30.
</p>",https://amchainitiative.org/wp-content/uploads/2023/04/2023-AAA-Resolution-to-Boycott-Israeli-Academic-Institutions.pdf,,36
American Anthropological Association,Passed,Academic,7/24/2023,"<p>The American Anthropological Association (AAA) membership endorsed an academic boycott of Israel <a href=""https://americananthro.org/wp-content/uploads/ReferendumOnProposedResolutionToBoycottIsraeliAcademicInstitutions.pdf"" target=""_blank"">resolution</a> <a href=""https://www.insidehighered.com/news/faculty-issues/2023/07/24/anthropologists-back-boycott-israeli-academic-institutions"" target=""_blank"">with</a> thirty-seven percent of eligible members voting, and 2,016 voting for the resolution (71 percent) and 835 people voting against it (29 percent) in a June 15 to July 14, 2023 vote.
</p>",https://americananthro.org/wp-content/uploads/ReferendumOnProposedResolutionToBoycottIsraeliAcademicInstitutions.pdf,https://americananthro.org/news/aaa-membership-endorses-academic-boycott-resolution/,70
American Historical Association,Failed,Academic,1/7/2017,"<p>Historians Against the War (HAW) petitioned the AHA Council, the organization’s main governing body, to “investigate the charges that academic freedom is widely violated in Israel and the Occupied Palestinian Territories.” The Council declined.</p>",http://historynewsnetwork.org/article/164842,,3
American Historical Association,Failed,Academic,1/9/2016,"<p>Failed January 9, 2016 by 111 to 51 vote</p>",http://legalinsurrection.com/2016/01/stunning-defeat-for-bds-at-american-historical-association/,,4
American Historical Association,Failed,Academic,1/5/2020,"<p>Two anti-Israel resolutions were voted on, which both failed with a vote of 80-41 on one and 61-36 on the other. The resolutions denounced Israel for allegedly violating the academic freedom of Palestinians, and U.S. citizens visiting Israel and Palestine. </p>",https://legalinsurrection.com/2020/01/american-historical-association-rejects-anti-israel-resolution-for-the-4th-time/,https://www.historians.org/annual-meeting/business-meeting/resolutions-on-right-to-education-and-academic-freedom-in-palestine-israel,28
American Historical Association,Failed,Academic,1/9/2015,"<p>After Historians Against the War (HAW) endorsed the BDS movement in 2014, they followed a year later with resolutions denouncing Israel for alleged crimes against the academic freedom of Palestinians and U.S. citizens. Due to submitting the resolutions late, HAW needed a two-thirds vote to be considered at AHA’s annual business meeting, but failed after only obtaining one-quarter of the votes. Date is approximated. </p>",http://historynewsnetwork.org/article/157890,https://legalinsurrection.com/2020/01/american-historical-association-rejects-anti-israel-resolution-for-the-4th-time/,29
American Political Science Association,Failed,Academic,8/21/2019,"<p>Resolution claimed, ""Israeli academic institutions are complicit in Israel’s settler colonization of Palestine, and the attendant ethnic cleansing, dispossession, military occupation and apartheid policies that constitute this colonization.""<br></p>",https://www.jns.org/resolution-to-boycott-israeli-academic-institutions-thwarted-at-annual-poli-sci-conference/,,5
American Studies Association ,Passed,Academic,12/1/2013,"<p>Passed by membership in December, 2013</p>",http://www.theasa.net/american_studies_association_resolution_on_academic_boycott_of_israel,,6
Arab American Studies Association (AASA),Passed,Academic,1/26/2014,"<p>Dr. Curtis Marez and the Executive Committee of American Studies Association release a statement of support for the ASA academic boycott of Israel that included, ""The AASA regards the American Studies Association’s endorsement as a commitment to expanding the possibilities of academic freedom and to breaking the silence in American academia on Israeli institutional violations of Palestinian and Arab rights to free movement, education, and expression through continued occupation, settler colonialism, and apartheid... In all, we fully support the ASA Board and membership in its historic decision.""</p>",http://www.pacbi.org/etemplate.php?id=2357,,30
Association for Asian American Studies,Passed,Academic,4/1/2013,<p>Passed by membership in April 2013</p>,https://amchainitiative.us2.list-manage.com/track/click?u=0beb330b057061522bbe22a7f&id=9a76f2fa86&e=af475dce6a,,7
Association for Humanist Sociology,Passed,Academic,10/1/2013,"<p>Passed by membership October, 2013</p>",http://www.ccsu.edu/uploaded/websites/Association_for_Humanist_Sociology/AHS_BDS_Support_Statement-1.pdf,https://amchainitiative.org/wp-content/uploads/2014/01/AHS-BOD1.pdf,8
California American Studies Association (CASA),Failed,Academic,2/24/2014,"<p>""CASA has no intention of adhering to the ASA resolution; the boycott guidelines will not be applied to our upcoming conference in April…. The CASA officers discussed the ASA resolution, and we all agreed that CASA would not abide by the boycott."" (Rejected ASA Academic Boycott February 24, 2014)</p>",https://legalinsurrection.com/2014/02/california-chapter-of-asa-refuses-to-apply-anti-israel-academic-boycott/,,32
Critical Ethnic Studies Association,Passed,Academic,7/1/2014,<p>Passed by membership in July 2014</p>,http://criticalethnicstudies.org/content/bds,,9
Eastern American Studies Association (EASA) ,Failed,Academic,4/4/2014,"<p>""EASA is an inclusive organization, open to scholars from all over the world. For this reason, the Eastern American Studies Association will not comply with and does not support the American Studies Association's 'Council Resolution on Boycott of Israeli Academic Institutions' endorsing 'a boycott of Israeli academic institutions'"" (Rejected ASA Academic Boycott April 4, 2014)</p>",http://harrisburg.psu.edu/eastern-american-studies-association/asa-resolution,,31
Middle East Studies Association,In Consideration,Academic,2/1/2015,<p>Membership voted in February 2015 to allow discussions of academic boycott within MESA</p>,http://mesana.org/about/presidential-statement-feb-13-2015.html,,14
Middle East Studies Association,Passed,Academic,3/23/2022,"<p>In a 768-167 vote, members of the Middle East Studies Association voted in favor of a BDS resolution.
</p>",https://mesana.org/news/2022/03/23/middle-east-scholars-vote-to-endorse-bds,https://mesana.org/about/resolutions,35
Modern Language Association,Failed,Academic,11/7/2019,"<p>(Failed on January 7, 2017)  - ""MLA delegates did not approve a resolution to endorse a boycott of Israeli institutions. They voted to postpone a resolution to condemn attacks on academic freedom in Palestinian universities. The assembly voted to move forward for consideration by the entire MLA membership a resolution to <em>refrain</em> from endorsing the Palestinian Campaign for the Academic and Cultural Boycott of Israel.""</p>",https://news.mla.hcommons.org/2017/01/07/delegate-assembly-meeting/,,15
National Association of Chicana and Chicano Studies,Passed,Academic,4/15/2015,"<p>Unanimous support of membership for ""<a href=""http://interviews.jadaliyya.com/pages/index/21426/national-association-of-chicana-and-chicano-studie"" rel=""noopener"">National Association for Chicana/Chicano Studies Resolution to Support the Boycott of Israeli Academic Institution</a>"" at National Association of Chicana and Chicano Studies Annual Conference in San Francisco (Passed April 15-18, 2015).</p>",http://interviews.jadaliyya.com/pages/index/21426/national-association-of-chicana-and-chicano-studie,,10
National Women's Studies Association,Passed,Academic,11/7/2019,"<p>Passed with 88.4% of votes cast in favor of the BDS recommendation, for a total of 653 votes in support on November 27, 2015. Voting on this question follows on a <a href=""http://www.nwsa.org/statements"">solidarity statement</a> released by NWSA early in 2015</p>",http://www.nwsa.org/content.asp?contentid=105,http://www.nwsa.org/statements,12
National Women's Studies Association,Passed,Academic,11/22/2014,"<p>Passed with National Women's Studies Association endorsing call for BDS on Nov 22, 2014</p>",http://www.pacbi.org/etemplate.php?id=2627,,13
Native American and Indigenous Studies Association,Passed,Academic,12/1/2013,"<p><a href=""http://www.naisa.org/declaration-of-support-for-the-boycott-of-israeli-academic-institutions.html"">NAISA Declaration of Support for the Boycott of Israeli Academic Institutions</a> (Passed by Council of the Native American and Indigenous Studies Association in December 2013)</p>",http://www.naisa.org/declaration-of-support-for-the-boycott-of-israeli-academic-institutions.html,https://amchainitiative.org/wp-content/uploads/2014/01/NAISA-Council.pdf,11
Peace and Justice Studies Association,Passed,Academic,11/1/2014,"<p><a href=""https://www.peacejusticestudies.org/blog/pjsa/2014/11/peace-justice-studies-association-votes-endorse-boycott-divestment-sanctions-bds"" rel=""noopener"">Peace and Justice Studies Association votes to endorse the Boycott, Divestment, and Sanctions (BDS) campaign</a> (Passed by membership in November 2014)</p>",https://www.peacejusticestudies.org/blog/pjsa/2014/11/peace-justice-studies-association-votes-endorse-boycott-divestment-sanctions-bds,,16
Society for the Study of Social Problems,Failed,Academic,8/10/2019,"<p><a href=""https://www.algemeiner.com/2019/08/12/major-academic-association-votes-down-bds-resolution/"">Failed</a> on August 10, 2019 by a vote of 34 to 37</p>",https://www.sssp1.org/index.cfm/m/782/2019_Proposed_Resolutions/,,17
Society for the Study of Social Problems,Failed,Academic,8/14/2020,"<p>Resolution 3 <a href=""https://bdsmovement.net/news/society-for-study-social-problems-votes-by-majority-support-bds-motion-falls-short"" target=""_blank"">fails</a> to obtain a 2/3 majority vote (53% approval rate with 217 approving and 142 denying). Resolution 3, <a href=""https://www.sssp1.org/index.cfm/m/832/2020_Proposed_Resolutions/#r2"" target=""_blank"">Resolution on the Global Boycott, Divestment and Sanctions Movement (BDS)</a>, included, ""Whereas... 'A boycott of academic institutions is the strongest message possible that Israel cannot claim normality and ask to be considered in the fold of democratic societies while maintaining an apartheid state and a brutal occupation'"" and ""Whereas, Israeli academic institutions are a critical element of the ideological and institutional scaffolding of Israel’s regime of occupation, colonialism, and apartheid."" The resolution continues with, ""THEREFORE, be it resolved, that the Society for the Study of Social Problems endorses the call for a boycott of complicit Israeli academic institutions... Be it also resolved, that SSSP publicize these BDS Resolutions on the SSSP webpage... Be it also resolved, 'recognizing that different actions may be feasible and appropriate under the many different academic and political circumstances that pertain in US institutions,' SSSP will urge its members to undertake as many of the following initiatives as possible:</p><p>1. Support Palestinian academic and cultural institutions directly without requiring them to partner with Israeli counterparts as an explicit or implicit condition for such support;</p><p>2. Encourage your university and college administrations to institute funding for scholarships and fellowships for Palestinian students;</p><p>3. Refrain from participation in any form of academic and cultural cooperation, collaboration or joint projects with complicit Israeli institutions;</p><p>4. Promote divestment and disinvestment from Israel by academic institutions, and place pressure on your own institution to suspend all ties with Israeli universities, including collaborative projects, study abroad, funding and exchanges.""</p>",https://www.sssp1.org/index.cfm/m/832/2020_Proposed_Resolutions/#r2,https://bdsmovement.net/news/society-for-study-social-problems-votes-by-majority-support-bds-motion-falls-short,34
