University,Academic Boycotter Name,Auto Increment
Alabama A&M University,Justin R. Garner,4465
Allegheny College,Brittany Davis,3645
American University,Jeffrey Bachman,1
American University,Eileen Findlay,2
American University,Susan Shepler,5
American University,David Vine,7
American University,Anders Hardig,2228
American University,Annie Claus,2229
American University,Malini Ranganathan,2233
American University,Shadi Mokhtari,2234
American University,Tazreena Sajjad,2235
American University,Andrew R. Flores,2236
American University,Anita Sinha,2237
American University,Irene Calis,2238
American University,Manissa Maharawal,2239
American University,Orisanmi Burton,2240
American University,Tayler Shreve,2241
American University,Zoltan Gluck,2868
American University,Zein El-Amine,4184
Amherst College,Chris Dole,8
Amherst College,Deborah Gewertz,9
Amherst College,Sujani Reddy,11
Amherst College,Krupa Shandilya,12
Amherst College,Adam Sitze,13
Amherst College,Tom Dumm,2155
Amherst College,Pooja Rangan,2242
Amherst College,Alicia Christoff,4535
Appalachian State University,Beth Carroll,14
Appalachian State University,Timothy J. Smith,15
Appalachian State University,Başak Çandar,2243
Appalachian State University,Elizabeth Perego,2244
Appalachian State University,Belinda Walzer,2245
Appalachian State University,Chris M. Candar-Meade,2246
Appalachian State University,Jon Horne Carter,2247
Arizona State University,Myla Vicenti Carpio,16
Arizona State University,Sarah R Graff,18
Arizona State University,Karen Leong,20
Arizona State University,Louis Mendoza,22
Arizona State University,Gustavo Fischman,2248
Arizona State University,Lila Sharif,3329
Augsburg University,Michael Lansing,24
Babson College,Kevin Bruyneel,2149
Bard College,Elizabeth Holt,26
Bard College,Dina A. Ramadan,27
Bard College,Joan Retallack,28
Bard College,Asma Abbas,2146
Bard College,Alys Moody,2249
Bard College,Ariel Goldberg,2250
Bard College,Olga Touloumi,2252
Bard College,Omar Cheta,2253
Bard College,Ross Adams,2254
Bard College,Sophia Stamatopoulou-Robbins,2255
Bard College,Ziad Abu-Rish,2256
Bard College,Pinar Kemerli,2844
Bard College,Lucas G. Pinheiro,4408
Barry University,Nadia Ahmad,3646
Bates College,Cristina Malcolmson,29
Bates College,Theri Pickens,30
Bates College,Lisa Gilson,2257
Boise State University,Karen Pinto,31
Boston College,Marjorie Howes,32
Boston College,Deborah T. Levenson,33
Boston College,Prasannan Parthasarathi,34
Boston Graduate School of Psychoanalysis,Stephen Soldz,36
Boston University,Catherine Caldwell-Harris,39
Boston University,Assaf Kfoury,42
Boston University,Sanjay Krishnan,43
Boston University,Michael Birenbaum Quintero,2259
Boston University,Muhammad Hamid Zaman,2260
Boston University,Heba Gowayed,2261
Bowdoin College,David Collings,44
Bowdoin College,Nasser Abourahme,2839
Bowling Green State University,Sandra L. Faulkner,3647
Brandeis University,Dorothy Kim,1975
Brandeis University,Gordon Allan Fellman,2262
Brandeis University,Pascal Menoret,2263
Brandeis University,Brian A. Horton ,2264
Brandeis University,Carina Ray,2265
Brandeis University,Kaushik Ragunathan,3376
Brown University,Aliyyah Abdur-Rahman,45
Brown University,Ariella Azoulay,47
Brown University,Beshara Doumani,48
Brown University,Paja Faudree,50
Brown University,Lina Fruzzetti,51
Brown University,Jessaca Leinaweaver,55
Brown University,Elias Muhanna,57
Brown University,Marc Redfield,58
Brown University,Peter Van Dommelen,59
Brown University,Alex Weheliye,748
Brown University,Alex Gourevitch,2160
Brown University,Nadje Al-Ali,2183
Brown University,Adi M. Ophir,2266
Brown University,Adrienne Keene,2267
Brown University,Alex Winder,2268
Brown University,David R. Wills,2271
Brown University,Dixa Ramírez D'Oleo,2272
Brown University,Ed Osborn,2273
Brown University,Elena Shih,2274
Brown University,Elizabeth Samuels,2275
Brown University,Ellen Rooney,2276
Brown University,Elsa Amanatidou,2277
Brown University,Emily Dolan,2278
Brown University,Emily Owens,2279
Brown University,Emily Qazilbash,2280
Brown University,Emily Rauscher,2281
Brown University,Esra Ozdemir,2282
Brown University,Evelyn Hu-DeHart,2283
Brown University,Faiz Ahmed,2284
Brown University,Fulvio Domini,2285
Brown University,Gabriel Rocha,2286
Brown University,Geri Monice Augusto,2287
Brown University,Gretchen Schultz,2288
Brown University,Itohan I. Osayimwese,2289
Brown University,Jesse Yedinak,2290
Brown University,Jinying Li,2291
Brown University,John Cayley,2292
Brown University,Jonathan Readey,2293
Brown University,Jose Itzigsohn,2294
Brown University,Juliet Hooker,2295
Brown University,Kate Schapira,2297
Brown University,Kerry Smith,2298
Brown University,Laura Colella,2299
Brown University,Laura Lopez-Sanders,2300
Brown University,Leela Gandhi,2301
Brown University,Leslie Bostrom,2302
Brown University,Leticia Alvarado,2303
Brown University,Lewis Seifert,2304
Brown University,Lingzhen Wang,2305
Brown University,Lynne Joyrich,2306
Brown University,Mark Cladis,2307
Brown University,Melvin Rogers,2309
Brown University,Michael D. Kennedy,2310
Brown University,Miled Faiza,2311
Brown University,Mirena Christoff,2312
Brown University,Naoko Shibusawa,2313
Brown University,Nina Tannenwald,2315
Brown University,Nitsan Chorev,2316
Brown University,Olakunle George,2317
Brown University,Onésimo Almeida,2318
Brown University,Patricia A. Ybarra,2320
Brown University,Patricia Sobral,2321
Brown University,Patrick Heller,2322
Brown University,Peter Szendy,2323
Brown University,Rahul Vanjani,2325
Brown University,Rebecca Louise Carter,2326
Brown University,Rebecca Nedostup,2327
Brown University,Rebecca Schneider,2328
Brown University,Regina M. Longo,2329
Brown University,Richard K. Waterhouse,2330
Brown University,Ronald L. Martinez,2331
Brown University,Samuel Perry,2332
Brown University,Sarah Thomas,2333
Brown University,Sasha-Mae Eccleston,2334
Brown University,Sawako Nakayasu,2335
Brown University,Scott Frickel,2336
Brown University,Silvia Sobral,2337
Brown University,Sophia Skiles,2338
Brown University,Sreemati Mitter,2339
Brown University,Stéphanie Ravillon,2340
Brown University,Susan Smulyan,2341
Brown University,Suzanne R. Stewart-Steinberg,2342
Brown University,Thangam Ravindranathan,2344
Brown University,Timmons Roberts,2346
Brown University,Timothy Bewes,2347
Brown University,Timothy Riker,2348
Brown University,Umer Akbar,2349
Brown University,Vazira Fazila-Yacoobali Zamindar,2350
Brown University,William Goedel,2352
Brown University,Yannis Hamilakis,2353
Brown University,Lundy Braun,2354
Brown University,Austin Jackson ,2355
Brown University,Myles Lennon,2356
Brown University,Maralie Armstrong-Rial,3633
Brown University,Alla Hassan,4251
Brown University,Andre C. Willis,4274
Brown University,Bathsheba Demuth,4306
Brown University,Benjamin Parker,4311
Brown University,Brandon DL Marshall,4322
Brown University,Brian Winston Meeks,4323
Brown University,Carol DeBoer-Langworthy,4336
Brown University,Daniel Jordan Smith,4384
Brown University,Daniel Kim,4385
Bryn Mawr College,Peter Magee,60
Bryn Mawr College,Azalea Seyhan,61
Bryn Mawr College,Chanelle Wilson,4563
Bryn Mawr College,Nora E. Taplin-Kaguru,4577
Bryn Mawr College,Jennifer Harford Vargas,4588
Bryn Mawr College,Joel Alden Schlosser,4590
Bucknell University,Matías Vernengo,62
Bucknell University,Amanda Wooden,63
Bucknell University,Chase Gregory,2358
Bucknell University,Erica Delsandro,2359
Bucknell University,Ron J Smith,2360
Butler University,Sholeh Shahrokhi,65
Butler University,Mira Kafantaris,3631
CSU Channel Islands,Mike Powelson,92
CSU Channel Islands,John Caravello,4564
CSU Chico,Michael J. Coyle,93
CSU Chico,Claudia S. Garriga-Lopez,2420
CSU East Bay,Luz Calvo,66
CSU East Bay,Lynn Cornerford,67
CSU East Bay,Rachael Stryker,68
CSU Fresno,Sasan Fayazmanesh,94
CSU Fresno,Mary Hussain,95
CSU Fresno,Julia Shatz,2421
CSU Fresno,Sean A. Gordon,4582
CSU Fullerton,Alexandro Gradilla,71
CSU Fullerton,Mikel Hogan,73
CSU Fullerton,Eric Estuar Reyes,74
CSU Fullerton,Jose Zamora,75
CSU Long Beach,Jake Alimahomed-Wilson,76
CSU Long Beach,Joanne Tortorici Luna,80
CSU Long Beach,Victor M. Rodriguez,81
CSU Long Beach,Judith Stevenson,83
CSU Long Beach,Reza Toossi,84
CSU Long Beach,Sherry Vatter,85
CSU Long Beach,Alfredo Carlos,2422
CSU Long Beach,Barbara Kim,2423
CSU Long Beach,Christine El Ouardani,2424
CSU Long Beach,Daniel Herrera Cepero,2425
CSU Long Beach,Dr. Kimberly Walters,2426
CSU Long Beach,Esa Syeed,2427
CSU Long Beach,Karissa G Miller,2428
CSU Long Beach,Kathryn J. Perkins,2429
CSU Long Beach,Lori Baralt ,2430
CSU Long Beach,Maulana Karenga,2431
CSU Long Beach,Preeti Sharma,2432
CSU Long Beach,Sabrina Alimahomed,2433
CSU Long Beach,Shae Miller,2434
CSU Long Beach,Sophia Pandya,2435
CSU Long Beach,Steven Osuna,2436
CSU Long Beach,Yousef K. Baker,2437
CSU Long Beach,Ron Loewe,4455
CSU Los Angeles,Mohammed Abed,86
CSU Los Angeles,Akhila Ananth,87
CSU Los Angeles,Msia Clark,88
CSU Los Angeles,Enrique Ochoa,89
CSU Los Angeles,Molly Talcott,91
CSU Los Angeles,Alejandra Marchevsky ,2438
CSU Los Angeles,Sae-Mi Lee,2440
CSU Los Angeles,Leda Ramos,4534
CSU Los Angeles,Melina Abdullah,4560
CSU Monterey Bay,Sriya Shrestha,1894
CSU Northridge,Alexander Alekseenko,98
CSU Northridge,Karran Baird-Olson,99
CSU Northridge,Paula DiMarco,103
CSU Northridge,Rabia Djellouli,104
CSU Northridge,Owen Doonan,105
CSU Northridge,Martha Escobar,106
CSU Northridge,Rosa Furumoto,107
CSU Northridge,Tomo Hattori,109
CSU Northridge,Lynette Henderson,110
CSU Northridge,Jinah Kim,112
CSU Northridge,David Klein,114
CSU Northridge,Peri Klemm,115
CSU Northridge,Sheena Malhotra,116
CSU Northridge,Theresa Montano,117
CSU Northridge,Larry Oviatt,118
CSU Northridge,Edie Pistolesi,120
CSU Northridge,Radha Ranganathan,121
CSU Northridge,Jerry Rosen,122
CSU Northridge,Mary Rosen,123
CSU Northridge,Bharath A. Sethuraman,125
CSU Northridge,Louis Solis,126
CSU Northridge,Kathryn Sorrels,127
CSU Northridge,Nan Yamane,129
CSU Northridge,Daniel Olmos,2441
CSU Northridge,Kelly Louise Opdycke,2442
CSU Sacramento,Vajra Watson ,2444
CSU Sacramento,Hanadi Shatara,3658
CSU Sacramento,Harry Blain,4403
CSU San Bernadino,Ece Algan,131
CSU San Bernadino,Ahlam Muhtaseb,132
CSU San Bernadino,Jamal Nassar,133
CSU San Bernadino,Angela Penaredondo,3629
CSU San Bernadino,Charlene Eaton,3630
CSU San Bernadino,Hareem Khan,4557
CSU San Marcos,Doris Bittar,134
CSU San Marcos,Marta Gonzales,135
CSU San Marcos,Andrew Spieldenner ,3667
CSU Sonoma,Benjamin Frymer,137
CSU Sonoma,Roshni Rustomji-Kerns,138
CSU Stanislaus,Annisa Rochadiat,2445
