University,Group name,Status,Group type (search/filter by),Link,Link 2,Link 3
,SoCal SJP,Active,SJP,https://www.instagram.com/socalsjp/,,
Adler University,SJP,Inactive,SJP,https://www.facebook.com/SJPatAdler/,,
American University,SJP,Active,SJP,https://www.instagram.com/au_sjp/,,
American University,JVP,Inactive,JVP,https://www.facebook.com/JewishVoiceforPeaceatAU/,,
American University,AU Dissenters,Active,Other,https://www.instagram.com/audissenters/,,
American University,Law Students SJP,Active,SJP,https://www.instagram.com/au_lsjp/,,
American University,JVP,Active,JVP,https://www.instagram.com/jvpamericanu/,,
American University,Students for Change (SFC),Active,Other,https://www.instagram.com/americanu_sfc/,,
Amherst College,Amherst 4 Palestine,Active,SJP,https://www.instagram.com/amherstforpalestine/,,
Antioch University Seattle,SJP,Inactive,SJP,https://www.facebook.com/SJPAntioch/,,
Arizona State University,SJP,Active,SJP,https://twitter.com/sjpasu,https://www.facebook.com/sjpalestine,https://www.instagram.com/sjpasu/
Arizona State University,Students for Socialism - ASU,Inactive,Other,https://www.facebook.com/SocialismASU/,https://www.instagram.com/sfsasu/,
Arizona State University,Young Democratic Socialists of America - ASU,Active,Other,https://twitter.com/ydsa_asu,https://www.facebook.com/YDSA.ASU/,https://www.instagram.com/ydsa_asu/
Arizona State University,Arizona Palestine Solidarity Alliance,Active,Other,https://www.facebook.com/ArizonaPalestine/,,
Arizona State University,Palestine Cultural Club at ASU,Active,Other,https://www.instagram.com/pcc.asu/,,
Arizona State University,ASU Rainbow Coalition,Active,Other,https://www.instagram.com/asurainbowco/,,
Arizona State University,Students Against Apartheid at ASU (SAGA),Active,SJP,https://www.instagram.com/saga.asu/,,
Atlanta University Center Consortium,SJP,Active,SJP,https://www.facebook.com/AUC4Palestine/,https://www.instagram.com/auc4palestine/,https://twitter.com/auc4palestine
Augustana College,SJP,Inactive,SJP,https://www.augustana.edu/about-us/events/2017/students-justice-palestine-first-meeting,,
Bard College,SJP,Active,SJP,https://www.instagram.com/bard_sjp/,https://www.facebook.com/bardstudentsforjusticeinpalestine/,
Bard College,Bard Divest,Inactive,Divest,https://www.facebook.com/barddivest2015,,
Bard College,Bard College Students Without Borders,Inactive,Other,https://www.facebook.com/Bard-College-Students-Without-Borders-354818524708100/,,
Bates College,Bates Leftist Coalition,Active,Other,https://www.instagram.com/bates_blc/,,
Bates College,Bates Students for Peace & Justice in Palestine,Inactive,Other,https://www.facebook.com/Bates-Students-for-Peace-Justice-in-Palestine-1556519041294316/,,
Baylor University,SJP,Inactive,SJP,https://www.facebook.com/groups/102978709743265/about/,,
Benedictine University,SJP,Active,SJP,https://www.instagram.com/benusjp2/,https://www.facebook.com/profile.php?id=100006215025850,
Boston College,SJP,Inactive,SJP,https://www.instagram.com/bostoncollegesjp/,,
Boston University,SJP,Active,SJP,https://www.instagram.com/bu_sjp/,https://www.facebook.com/BostonUSJP/,
Boston University,Seminarians for Solidarity with Palestine - BU School of Theology,Inactive,Other,https://www.facebook.com/Seminarians-for-Solidarity-with-Palestine-BU-School-of-Theology-111531603706976/,,
