University,Date,Statement Addressed,Statement
Vanderbilt University,1/8/2024,"BDS, General Antisemitism, Israel","<p>On January 8th, Chancellor Daniel Diermeier released a <a href=""https://view.comms.vu.edu/?qs=d418cf3bf1626aa33dca05f75c512c909fb3774ddf0cb5712e862158df93638db4da5796e876f1373d007c4d80b800b673a4dc00938056b590c60bc4228920e1663a0205661639e937e21785ac03c0a6"" target=""_blank"">statement</a> expressing, in part:
</p><div>""First, let there be no question that Vanderbilt unequivocally considers calls for violence or genocide against any member of the Vanderbilt community to be evil, repugnant and violative of university policy. As I stated in my message to you in the fall, the university strongly condemns antisemitism, Islamophobia, xenophobia and other forms of hate.
</div><div>Second, in response to the war in Gaza, there have been calls on campuses across the country for institutions of higher education to join the boycott, divestment and sanctions (BDS) movement against Israel. Unless required by law, Vanderbilt will not boycott or divest from companies for doing business in or with any specific nations, including Israel.
</div><div>Our position is deeply grounded in our long-standing commitment to institutional neutrality, which calls for the university and its leaders to refrain from taking public positions on controversial issues unless the issue directly affects the core mission and operation of the university. A university’s role is to encourage debates, not to settle them, and institutional neutrality is essential to fostering the maximum freedom of speech and open dialogue on which transformative education and pathbreaking research depend.
</div><div>The university does encourage members of our community to continue engaging—actively, civilly and productively—around the conflict in the Middle East and other issues, so that we can all keep learning, growing and creating positive change in the world...""
</div>"
San Diego State University,10/9/2023,Israel,"<p>President Adela de la Torre released a statement <a href=""https://view.comms.sdsu.edu/?qs=6bba897100897dda2e16a9f0ad154445196d94af7fc8bcd897d506893aadb1c6515762bc437f921e8e9a2be8943bf20fea40c7a1712fedb1c1a0c81dab1cd2ac7a63289e7772273d7bd17a86a32eb9e4"" target=""_blank"">expressing</a>, in part: ""Throughout this weekend and today, SDSU has been in direct communication with dozens of impacted community members after the horrific reports of killings and kidnappings following the Hamas attacks on Israel during Shemini Atzeret/Simchat Torah, a major Jewish holy day. What is being reported is heartbreaking. We have heard from SDSU community members who have family, close friends and colleagues in the region. Many have spent several terrifying days praying for their safety. Some have not had those prayers answered. We cannot express to you the depths of emotion and anguish we have felt and encountered since Saturday. We are grieving for all those who are suffering in the wake of this outburst of violence. We condemn, in the strongest possible terms, any act of violence, especially those against innocent civilians. We are deeply struck by the sheer scale of the loss of life – of innocent Israelis, Palestinians, and countless others. We also recognize that this follows a long history of loss of life of civilians in this region. It is our utmost priority that SDSU respond by setting a different tone – one of compassion, learning and dialogue, and, above all, empathy for what our campus community may be experiencing. To be sure – understanding that the events from this weekend will affect members of our diverse campus in different ways, we are writing to share our encouragement to utilize the support services available to all our students, faculty and staff.""
</p>"
Harvard University,11/10/2023,"Harassment, Israel, General Antisemitism","<p>Harvard President Claudine Gay condemned the use of the phrase, ""From the River to the Sea"" <a href=""https://www.thecrimson.com/article/2023/11/10/gay-antisemitism-education-email/"" target=""_blank"">stating</a>: ""Our community must understand that phrases such as ‘from the river to the sea’ bear specific historical meanings that to a great many people imply the eradication of Jews from Israel and engender both pain and existential fears within our Jewish community. I condemn this phrase and any similarly hurtful phrases.""
</p>"
Ohio State University,12/13/2023,"Harassment, Israel","<p>The University <a href=""https://www.thecollegefix.com/ohio-state-u-suspends-pro-palestinian-group-for-posing-risk-of-harm/"" target=""_blank"">suspended</a> the Central Ohio Revolutionary Socialists (<a href=""https://www.instagram.com/p/C1ckB-OOvXa/"" target=""_blank"">CORS</a>), a registered student organization, on December 13th, after <a href=""https://www.thelantern.com/2023/12/student-organization-placed-on-interim-suspension-for-disregarding-university-directives-and-use-of-pflp-logo/"" target=""_blank"">determining</a> with reasonable cause that the organization's activities 'pose a significant risk of substantial harm to the safety or security of [its] organization's members, other members of the university community or to university property."" The University cited the use of the <a href=""https://www.instagram.com/p/C0kRweoOk-h/"" target=""_blank"">logo</a> associated with the Popular Front for the Liberation of Palestine, a designated terror organization by the U.S. and the U.N., following the group's event titled, ""Intifada, Revolution, and the Path to a Free Palestine"" which was advertised with a Palestinian throwing a grenade and the PFLP logo.
</p>"
Williams College,12/13/2023,"Harassment, Israel","<p>President Maud S. Mandel sent an <a href=""https://president.williams.edu/writings-and-remarks/letters-from-the-president/defacement-of-posters-with-calls-for-violence/"" target=""_blank"">email</a> to the campus community titled, ""Defacement of posters with calls for violence"" that stated: ""Last night, posters in Paresky about the Israeli hostages were defaced with graffiti that, among other things, supported violence against Israelis. Any defacement of posters is disrespectful, but the call for violence in this case is a breach of both college values and Williams policies. We have removed the defaced posters and are seeking information about the individuals responsible. If you know anything that might be relevant, please contact CSS at 413-597-4444. Any community member found to be involved will be subject to the college conduct process, which can lead to disciplinary action. As always, our colleagues in the Chaplains’ Office and the Davis Center, among other areas, are available to talk with you if you are concerned about the impact of this incident on yourself or our community. I offer thanks to them and everyone else working hard to care for everyone right now. The U.S. Department of Education’s Office of Civil Rights has made clear that colleges and universities bear responsibility for responding to incidents of discriminatory harassment that create a hostile environment. As a matter of principle, we are going to embrace Williams’ ethical and educational obligation to maximize space for free expression—including speech that others might find objectionable—while setting and upholding limits that ensure an education free of hostility and harassment. It is possible, and arguably necessary, that we find ways to disagree passionately on topics like the Middle East conflict without descending into urging violence. The college will continue to support programs that foster reflection, study and debate on such issues. But we will do so within a set of rules meant to ensure that everyone can live and learn here free from hostility and harassment.""
</p>"
Williams College,10/12/2023,"General Antisemitism, Israel","<p>President Muad released the <a href=""https://president.williams.edu/writings-and-remarks/letters-from-the-president/campus-vigil-on-israel-and-gaza-and-the-college-presidents-role-in-the-wake-of-world-crises/"" target=""_blank"">statement</a>, ""Campus vigil on Israel and Gaza, and the college president's role in the wake of world crises"" which stated: ""Williams students, faculty and staff, As many of you are aware, I have not issued a public statement on behalf of the College in the days following the recent, horrific attacks by Hamas on Israelis and the deaths of Palestinian civilians in the military retaliation. I have heard from members of the community that the college’s silence in the face of these events is itself a statement, and an unacceptable one. I am writing now to invite everyone to join me at a campus vigil, and then to explain my view on college statements and the reasons I no longer issue them, except in regards to events that directly impact our mission and work as a college. Before I do so, I want to encourage you to please come to the<a href=""https://events.williams.edu/event/vigil-lament-and-reflection-on-events-in-israel-gaza-8-pm-monday-oct-16-chapin-hall-steps/""> vigil organized by our chaplains at 8 PM next Monday, October 16</a>, on the steps of Chapin Hall. The event, subtitled Lament and Reflection on Events in Israel and Gaza, will be a time for all to mourn our collective losses and help each other through a moment of grief and outrage. I want to thank the students from WCJA who worked with Jewish Chaplain Rabbi Seth Wax to host a related gathering earlier this week, and Muslim Chaplain Sidra Mahmood, who will be holding space for the Williams Muslim community later this week. In regards to my view on institutional statements, the following is a version of the explanation I offered at yesterday’s Faculty Meeting: My policy not to send out campus-wide messages about domestic or international events or even natural disasters, no matter how tragic or painful, is based on several considerations: First and foremost, terrible tragedies and injustices occur too frequently in life. Our awareness of specific events may vary depending on our communities, personal connections and the media’s focus. But such events are constantly affecting people from Williams, their families and innocent victims around the world—sometimes on a very large scale. I put out no statement after the many—too many—incidents of recent times: Russia’s invasion of Ukraine, the displacement of Armenian Christians from Nagorno-Karabakh, the earthquakes in Turkey and Afghanistan, and terrible events in Sudan, Burkina Faso and Ethiopia, to name just some examples. We think with grief, too, of the many shootings at schools and places of worship. Each of you will have injustices that you could add to this list. We should each have the chance to decide which of these affect us and how we want to contend with them. Second, I believe that our most important mission is to teach students how to think, and empower them to do so for themselves—not to tell them what to think. Faculty will be engaging in such work in classes across the curriculum, and staff, too will contribute. We will have future learning opportunities for the whole community, as well. Third, the decision reflects my ongoing concern over the role of a college president. When I speak as president of Williams, I am speaking on behalf of thousands of people who together make up “the Williams community.” I feel it is both right and necessary for me to do so on topics related to our core educational mission. But when the topics are national and world events—even events that affect us personally, and on which we feel great moral clarity—I do not believe it is the president’s job to speak for the whole community, or even that it is possible to do so. In those moments, my job is to help ensure that the educational opportunities and personal support are in place so that we can reflect, study and decide what we think and believe, individually and collectively. This position represents an evolution in my thinking. Earlier in my presidency I sent out public statements about various world events. After conversations with members of our community and colleagues at other schools, I have become convinced that such communications do more harm than good. They support some members of our community in particular moments while intentionally or unintentionally leaving out others. They give some issues great visibility while leaving others unseen. As president of Williams I want to focus my energy on caring for students in the moments that are important to you, by working with our incredible faculty and staff who to provide learning opportunities, support and mentorship. Over time there will undoubtedly be campus teach-ins, speakers and classroom discussions to help us think about the causes and effects of conflict in the Middle East. Right now, I suspect the grief is too raw for many of us to intellectualize. If you are feeling that way, I encourage you to seek support from the Chaplains, Integrative Wellbeing, the deans, OIDEI and others. I encourage departments and offices to share your own resources in the days to come, too. What I hope we can do, in this moment, is join together as a community, offer or seek comfort, and try to enact our shared commitment to reducing violence, suffering and injustice in this world—one that we inhabit together. Maud""
</p>"
Brandeis University,11/27/2023,"Harassment, General Antisemitism, Israel","<p>On November 27, President Ron Liebowitz released the <a href=""https://www.brandeis.edu/president/letters/2023-11-27-brandeis-commitments-inclusion-combatting-hate.html"" target=""_blank"">message</a>, ""Brandeis’ commitments to inclusion and to combatting hate"" which stated: ""As we head into the final weeks of the semester following what I hope was a restorative break, I want to recognize how challenging the past seven weeks have been and thank all the faculty and staff who have been sources of support for students and for one another during these challenging times. The Israel-Hamas conflict has been front and center for many on campus and is likely to remain so for the near future. As we continue to mourn the loss of life in the Middle East, Palestinian and Israeli alike, we find ourselves faced with an increasingly volatile environment here at home. Just this past weekend, three college students of Palestinian descent were shot near the University of Vermont campus. Our thoughts are with the three injured students, and we hope for their full recovery from what is being investigated as a hate crime. Here at Brandeis, know that the university’s top priority is to provide a physically safe campus for all students, faculty, and staff. We also continue to encourage and support all Brandeisians who engage in difficult and challenging issues such as the dialogue around the Israel-Hamas war, and we remain committed to ensuring a safe and open environment in which to have such conversations. I suggest that everyone take advantage of the exceptional academic resources available at Brandeis to learn more about the current conflict, including a teach-in scheduled for December 5th (more information to come from the provost and deans) and a ‘Lunch and Learn’ series hosted by the Schusterman Center for Israel Studies on November 28 and December 4 from 12:00-1:00 p.m. Brandeis is committed to protecting free speech and academic freedom, ensuring a safe environment, and adhering to our obligations under Title VI of the Civil Rights Act of 1964. While we may not always agree about how tensions among these principles are balanced and resolved, I believe we create our best learning environment when we allow ourselves to hear one another regardless of our different perspectives. With respect to Title VI in particular, this act protects students from discrimination based on their race, color, or national origin at federally funded post-secondary educational institutions. Since 2004, it has been recognized that this protection extends to Jewish students. In 2010, the Assistant Attorney General in the Civil Rights division of the Department of Justice further clarified the nature of protection for specific groups in a letter to the Assistant Secretary of Civil Rights: ‘Although Title VI does not prohibit discrimination on the basis of religion, discrimination against Jews, Muslims, Sikhs, and members of other religious groups violates Title VI when that discrimination is based on the group's actual or perceived shared ancestry or ethnic characteristics, rather than its members' religious practice. Title VI further prohibits discrimination against an individual where it is based on actual or perceived citizenship or residency in a country whose residents share a dominant religion or a distinct religious identity.’ Legalities aside, Brandeis, from its founding in 1948, welcomed all academically qualified students no matter their religion, race, or gender identity, and it remains committed to this founding principle. It is critical, as many of us wrestle with the Israel-Hamas war, and with other conflicts around the globe and more locally, to reiterate this commitment to welcoming and protecting all students at Brandeis. At the same time, we must not forget that the specific need for, and establishment of, Brandeis arose to counter blatant antisemitism in higher education, which limited academically qualified Jewish students from enrolling at most colleges and universities. Brandeis was and remains the singular non-sectarian university founded by the American Jewish community. We are proud of that heritage and honor the values that the founders held dear. Fortunately, many colleges and universities followed Brandeis’ lead and ultimately opened their doors to Jews and other underrepresented groups. And while Brandeis’ founding values largely became universal across higher education, Brandeis’ status as the singular Jewish-founded non-sectarian institution remains an important part of its identity and bestows upon it certain responsibilities. In addition to ensuring openness and inclusivity for all students, faculty, and staff and a commitment to fighting all forms of hate, Brandeis, given its history and unique status among American universities, must be a leading voice in countering antisemitism in higher education. Based on what we see today on other campuses and in communities locally and globally, it is sadly obvious that antisemitism requires such attention. Two weeks ago, the university hosted a pilot program on antisemitism and higher education that included more than 100 university administrators from twenty-one colleges and universities. Participants came from presidents', provosts', and deans' offices; from admissions, student affairs, and DEI offices; from departments of religious and spiritual life; and from the faculty of several institutions. Presenters came from law schools, university faculties, DEI offices, and non-profit organizations involved in studying and addressing antisemitism. Our university can, and must, support Brandeisians from all backgrounds while also leading the effort to fight antisemitism. These pursuits are not incompatible. I believe that, just as Brandeis’ founding in response to antisemitism created a university open to all and provided a model for other universities, our leadership in countering antisemitism can lead to an environment in which hatred and discrimination against any group is not tolerated. Brandeis can, once again, serve as a model for other universities.""
</p>"
Brandeis University,11/11/2023,"Harassment, General Antisemitism, Israel","<p>On November 11, President Ron Liebowitz released the <a href=""https://www.brandeis.edu/president/letters/2023-11-11-open-dialogue-collective-responsibility.html"" target=""_blank"">message</a>, ""Creating an Open Dialogue and Our Collective Responsibility"" which stated: ""Yesterday, a group of students gathered to voice their points of view on the Israel-Hamas war, which they have a right to do on our campus. Brandeis will always be a place for open dialogue: We encourage a diversity of views, and we aspire to create a forum where these views can be freely discussed. At the same time, our administration’s top priority is to ensure the safety and well-being of our community. This means that we must provide an environment without harassment and intimidation in order to support free expression. This also means that there is a level of responsibility that comes with free speech that was not exercised by many of the protestors yesterday, as the demonstration devolved into the invocation of hate speech. Ultimately, seven people were arrested, the majority of whom were unaffiliated with Brandeis. As part of the university’s standard protocols and procedures, we are reviewing what exactly took place during – and in response to – the protests, so that we can best keep our community members safe. I know how contentious it feels for many on our campus right now, and that people are hurting. I empathize with all of you who are grappling with the ongoing Israel-Hamas war. Many of you have lost loved ones during this war, Palestinian and Israeli alike; I am heartbroken for the loss of life, and I offer my sincere condolences. Later this week, the university will host events to address the social and emotional welfare of our campus community. We encourage students, faculty, and staff to come to these facilitated sessions, and share their various points of view, in a mutually respectful conversation. We hope that these sessions will serve as a first step in healing; more information will follow in the coming days regarding these opportunities. For those who are struggling, please know that there are existing resources in place as well – I’ve included a list below. Lastly, as we prepare to come together this coming week in healing, I want to remind all of us of Brandeis’ Principles of Free Speech and Free Expression and our Protest Policy, which call for all of us to respect the rights of others. While we strongly support the free exchange of ideas, we do not condone hate, the incitement of violence, threats, or harassment, of any kind. Our free speech principles apply to all of our students, no matter their background, their perspectives, or their beliefs. Attacks against any background or belief system are unacceptable and will not be tolerated. I believe Brandeis is unique in how our community members care for one another. I have seen it time and time again on our campus. I hope that we can find common ground during this very difficult time, and move forward in ways that Brandeis is known for, where we are able to accept our differences, and talk about them, in an environment where we can all feel free from harassment. ""
</p>"
Brandeis University,10/26/2023,"Harassment, Israel, General Antisemitism","<p>On October 26, President Ron Liebowitz released the <a href=""https://www.brandeis.edu/president/letters/2023-10-26-setting-record-straight.html"" target=""_blank"">message</a>, ""Setting the Record Straight"" which stated: ""This week, several media outlets reported inaccurate and misleading information on Brandeis’ position on the Israel-Hamas war. I’d like to set the record straight. First off, Brandeis stands with Israel. I was one of the first university leaders to condemn Hamas and its terrorist actions on October 7. Earlier this week, I reiterated to our community that Brandeis supports Israel and its right to defend itself, and that this will not change. At the time of our initial response, the Boston Globe wrote 'Universities were engulfed by controversy this week over how their leaders responded to Hamas’s Saturday attack on Israeli civilians. Brandeis University was an exception. The Waltham school’s president, Ronald Liebowitz, quickly and clearly denounced Hamas’s attack, which included militants gunning down families in their homes, as ‘terrorism’ in a campus-wide missive sent around 6 p.m. the same day.' Earlier this week, inaccurate media reports suggested the opposite of our clearly worded statements on the Israel-Hamas War. They also inaccurately characterized a student senate vote on whether to issue a declaration condemning Hamas, which had more to do with process, than with the stance of the student senate or union. To be clear: The student union has not issued any statement in support of Hamas. In fact, yesterday the Brandeis Student Union decided to strongly condemn Hamas, and it has communicated its stance to the Brandeis community, and the media more broadly. In addition, more than a thousand Brandeis students and other community members, and growing, have been circulating a statement condemning the acts of terror perpetrated against Israel and the Jewish people. These actions by our students set us apart from other institutions; reports to the contrary are simply not credible. Since our founding by the American Jewish community in 1948, our campus has been a haven for Jewish students to feel comfortable living as their true selves. This will always be the case.""
</p>"
Brandeis University,10/23/2023,"Israel, General Antisemitism, Harassment","<p>On October 23, President Ron Liebowitz released the <a href=""https://www.brandeis.edu/president/letters/2023-10-23-statment-israel.html"" target=""_blank"">message</a>, ""Statement on Israel and Support for Our Campus Community"" which stated, in part: ""As the Israel-Hamas war enters its third week, I want to reiterate that Brandeis stands with Israel and against the terrorist attacks perpetrated by Hamas. Brandeis was founded by the American Jewish community, and while we are a secular school, we maintain close ties with our founding community and their values. Brandeis was among the first universities to condemn the attacks by Hamas, and we have, since the attacks on Oc. 7, supported Israel’s right to defend itself. This will not change. We are also concerned about the situation in Gaza, and we recognize that Hamas is one terrorist faction and is not representative of the Palestinian people on the whole. Our thoughts and sympathies remain with all innocent civilians living in Israel and in Gaza, and we hope for an end to this conflict and a path to lasting peace. Here on campus, I urge all of us to exercise compassion and civility in engaging with this issue in the classroom, in the dining hall, dorms, and across campus. Know that Brandeis is committed to free speech and encourages respectful dialogue, and we also prohibit threats to, or harassment of, any members of our community. I want to express concern for everyone in our community who is struggling during this challenging time. There are Brandeisians who await news of their loved ones taken hostage, and I’ve heard from students who have been called to serve with the Israel Defense Forces. Others in our community mourn the loss of those closest to them across the region. I remind everyone of the resources available to students, faculty and staff who are feeling the impact of current events and would benefit from support.""
</p>"
