Description,Auto Increment,Date,Category,University,Year
"<p>The student government passed a resolution to condemn Hamas in a vote of 16 yes, 4 no, 1 abstention. The resolution defined Hamas as a ""genocidal terrorist organization"" and called for the swift and complete dismantling of Hamas for the sake of humanity and eventual peace in the region.
</p>",194,11/15/2023,General A/S,University of California Santa Barbara,2023
"<p>A <a href=""https://docs.google.com/document/d/1x8uPEKOgChnZ5nnlj31HKixNzJ77CJNb6Ljbp1JUL0g/edit"" target=""_blank"">bill</a>, titled “A Resolution to Condemn Hamas and Antisemitism at UC Santa Barbara,” passed with 75% voting in favor. The bill <a href=""https://dailynexus.com/2023-11-16/ucsb-community-members-attend-a-s-senate-meeting-discuss-bill-condemning-hamas-during-public-forum/"" target=""_blank"">called on</a> Associated Students (A.S.) to “unequivocally condemn Hamas” and “mourn all civilian loss of life in Israel and Gaza as a result of the ensuing war,” as well as “denounce the hateful rhetoric of pro-Hamas student groups as antisemitic, reprehensible, and morally despicable.”
</p>",195,11/15/2023,General A/S,University of California Santa Barbara,2023
"<p>The student senate passed a <a href=""https://jewishjournal.com/news/358149/ucsb-student-senate-passes-endjewhatred-day-resolution/"" target=""_blank"">resolution</a> urging the university to proclaim April 29 as #EndJewHatred Day in a 16 in favor, one against and eight abstentions vote. According to the <em>Jewish Journal</em>, ""The resolution stated that one of the reasons the day is necessary is the various incidents that happened on campus in January, citing 'the vandalization of a classroom with false allegations that the State of Israel, the only Jewish State, a perpetrator of genocide, femicide, apartheid, ethnic cleansing and white supremacy, as well as the dissemination of flyers with heinously antisemitic propaganda and tropes impacting the emotional and mental well-being of Jewish students throughout the community.' The resolution also noted that the student senate held a meeting on Yom Kippur in 2022, thus 'senators, public forum speakers and spectators were unable to participate due to religious observance.'""
</p>",160,4/19/2023,General A/S,University of California Santa Barbara,2023
"<p>The Student Senate of University of Kansas <a href=""https://www.algemeiner.com/2023/04/14/university-of-kansas-student-senate-condemns-antisemitism/"" target=""_blank"">passed</a> a resolution <a href=""https://www.kansan.com/news/student-senate-roundup-in-final-session-of-the-year-senate-passes-two-cultural-resolutions/article_6923dc88-da30-11ed-ba6f-4bdb6e91948d.html"" target=""_blank"">condemning</a> antisemitism in a 38-0 vote, with two senators abstaining, the resolution also called on administrators to ""sustain and support"" the university’s Jewish Studies program.
</p>",131,4/13/2023,General A/S,University of Kansas,2023
"<p>The student government <a href=""https://www.instagram.com/p/Cqavqw8Ohen/"">passed</a> a <a href=""https://jewishjournal.com/community/357624/campus-watch-apr-4-2023/"">resolution</a> calling for the adoption of the International Holocaust Remembrance Alliance (IHRA) working definition of Antisemitism with 15 for, 1 against and 6 abstentions.
</p>",130,3/29/2023,IHRA Definition,University of Illinois Urbana Champaign,2023
"<p>The BU student government <a href=""https://dailyfreepress.com/2023/03/21/bu-stugov-discusses-definition-of-antisemitism-black-student-task-force-survivors-bill-of-rights/"" target=""_blank"">passed</a> a resolution with 33 votes that called on BU to adopt the International Holocaust Remembrance Alliance’s definition of antisemitism.
</p>",129,3/21/2023,IHRA Definition,Boston University,2023
"<p>UCSB Associated Students unanimously <a href=""https://dailynexus.com/2023-02-07/students-a-s-senate-condemn-recent-antisemitic-acts/"" target=""_blank"">passed</a> ""A Resolution in Support of the Jewish Community and the Condemnation of Antisemitism"" which, according to the Daily Nexis, ""condemned the recent acts of antisemitism and called on the Office of the Vice Chancellor for Diversity, Equity, and Inclusion to 'formulate a response that will ensure the safety and security of Jewish students on campus.' It also asked the University of California Student Association to meet with representatives from the Jewish community to 'better develop a systemwide response to Jew hatred on our campuses.'""
</p>",128,2/1/2023,General A/S,University of California Santa Barbara,2023
"<p>The University of Houston’s Student Government Association unanimously <a href=""https://jhvonline.com/a-pendulum-swing-for-jewish-students-at-uh-p31483-112.htm"" target=""_blank"">passed</a> the Religious Support Bill, which confirms each student’s right to worship freely, condemns harassment based on religious affiliation, acknowledges that such harassment continues to be an issue at the University of Houston, expresses condolences to those who experience violence based on their religious community, calls on students and administrators to cultivate a more welcoming campus environment, and prohibits future SGA legislation from singling out any religious group. The final clause states, ""Be it further resolved, that for future transparency, SGA legislation shall not single out any religious group, and shall address religious groups collectively.""
</p>",127,1/18/2023,"General A/S, Anti-BDS",University of Houston,2023
"<p>In a special meeting, the Undergraduate Student Government (USG) <a href=""https://www.dailyprincetonian.com/article/2022/11/princeton-undergraduate-student-government-antisemitism-gender-neutral-bathrooms"" target=""_blank"">passed</a> a resolution to ""condemn and combat antisemitism"" which calls on the Office of the Dean of Undergraduate Students (ODUS) and the Office of the Dean of Graduate Students to increase trainings on antisemitism, including ""trainings for student leaders, bias trainings for students, and annual orientation programming."" The preamble noted that ""the University hosts trainings addressing antisemitism for students, faculty, staff, and administrators, and those trainings use the [IHRA] definition of antisemitism with its examples.""<br />
</p>",96,11/16/2022,"General A/S, IHRA Definition",Princeton University,2022
"<p>The student government <a href=""https://www.instagram.com/p/CkzpfWHuUuc/?hl=en"" target=""_blank"">passed</a> a statement denouncing antisemitism that expressed, ""On our campus, Jewish students, faculty, staff, and community members repeatedly convey mistreatment, including their fear of being attacked or targeted for speaking out in their own defense against hate and antisemitism. All students, faculty, and staff should be able to speak, teach, or publish without fear of retribution.""
</p>",97,11/10/2022,General A/S,DePaul University,2022
"<p>The Student Senate <a href=""http://gmufourthestate.com/2023/05/03/a-rise-in-antisemitism-at-mason-and-the-us/"" target=""_blank"">passed</a> a <a href=""https://onedrive.live.com/?authkey=%21AA9k76i6ARjFPIs&id=7C9C9547143BFCC7%216168&cid=7C9C9547143BFCC7&parId=root&parQt=sharedby&o=OneUp"" target=""_blank"">resolution</a> to condemn antisemitic attacks in the United States and ""commits to supporting students of the Jewish faith"" on campus.
</p>",193,11/10/2022,General A/S,George Mason University,2022
"<p>ASUC Senate <a href=""https://dailycal.org/2022/11/10/absent-asuc-senators-protest-bill-condemning-antisemitism"" target=""_blank"">approved</a> a bill to condemn antisemitism while nine of 20 senators chose to be absent in protest of the resolution.
</p>",95,11/9/2022,General A/S,University of California Berkeley,2022
"<p>The Student Government unanimously <a href=""https://thedailytexan.com/2022/11/02/student-government-advocates-for-banning-kanye-west-music-from-ut-sporting-events/"">passed</a> a resolution that urged the administration to ban all music by Kanye West in solidarity with Jewish students at the University after Kanye West made a series of antisemitic and anti-Zionist remarks online.
</p>",94,11/1/2022,General A/S,University of Texas Austin,2022
"<p>Cornell University Student Assembly <a href=""https://cornellsun.com/2022/09/20/university-and-cornell-jewish-community-respond-to-antisemitic-actions-jewish-cornellians-rally-on-ho-plaza/"" target=""_blank"">passed</a> a resolution titled ""Resolution Five: Condemning Antisemitism"".
</p>",61,9/15/2022,General A/S,Cornell University,2022
"<p>The University of Wisconsin-Madison’s student government unanimously <a href=""https://www.dailycardinal.com/article/2022/04/asm-unanimously-passes-resolution-addressing-campus-antisemitism"" target=""_blank"">passed</a> a <a href=""https://drive.google.com/file/d/1gG126etxpmgMGLe3DT9PWIl9OLKPR98L/view"" target=""_blank"">resolution</a> condemning antisemitism titled ""Resolution Addressing Anti-Semitism on Campus,"" which urged the university administration to ""discipline the perpetrators of these [antisemitic] acts, if and when known, and the perpetrators of all future antisemitic and racist acts.""
</p>",58,4/13/2022,General A/S,"University of Wisconsin, Madison",2022
"<p>The student government <a href=""https://scribe.uccs.edu/sga-passes-stop-racism-event-funding-and-antisemitism-resolution/?utm_source=rss&utm_medium=rss&utm_campaign=sga-passes-stop-racism-event-funding-and-antisemitism-resolution"" target=""_blank"">passed</a> a resolution that called for the adoption of the IHRA definition of antisemitism.
</p>",59,4/7/2022,"IHRA Definition, General A/S",University of Colorado Colorado Springs,2022
"<p>The student government board <a href=""https://jewishchronicle.timesofisrael.com/university-of-pittsburgh-adopts-ihras-definition-of-antisemitism/"" target=""_blank"">voted</a> to support the IHRA definition, which follows on the heels of the university formally <a href=""https://jewishchronicle.timesofisrael.com/university-of-pittsburgh-adopts-ihras-definition-of-antisemitism/"" target=""_blank"">adopting</a> the IHRA definition on March 30, 2022. The IHRA definition will now be included in the university’s nondiscriminatory policy.
</p>",60,4/5/2022,IHRA Definition,University of Pittsburgh,2022
"<p>According to <em><a href=""https://www.idsnews.com/article/2022/02/iusg-congress-passes-legislation-condeming-police-brutality-antisemitism"" target=""_blank"">IDS News</a></em>, the IUSG Congress ""passed a non-binding internal resolution condemning recent online antisemitic comments directed toward Jewish students at IU. IUSG intends to adopt the International Holocaust Remembrance Alliance’s non-legally binding working definition of antisemitism and encourages Indiana University to do the same. As the first non-binding internal resolution of Congress, the resolution holds no official weight as an IUSG policy, according to the press release.""
</p>",57,2/22/2022,"IHRA Definition, General A/S",Indiana University Bloomington,2022
"<p>A <a href=""https://www.dukechronicle.com/article/2022/02/duke-student-government-antisemitism-resolution-structure-training-jewish-life-meeting-dsg"" target=""_blank"">resolution</a> endorsing the IHRA definition of antisemitism <a href=""https://twitter.com/JewishonCampus_/status/1489261598556364804"" target=""_blank"">passed</a> unanimously in the student government.
</p>",56,2/2/2022,IHRA Definition,Duke University,2022
"<p>The student government <a href=""https://www.deanza.edu/dasg/agendasminutes/2020-2021/2021-05-12sm.pdf"" target=""_blank"">passed</a> a ""Statement to Condemn Antisemitism"" that expressed, ""De Anza Student Government Senate is firmly against antisemitism, defined as prejudice and discrimination against Jews and those perceived as Jews. The DASG Senate recognizes that existing organizations and definitions each have their controversies and limitations attached to them. As a result, we will not be officially endorsing any existing definitions or organizations. We condemn the antisemitism that has occurred on De Anza’s campus, particularly the putting up of antisemitic posters in 2017 that denied the occurrence of the Holocaust. The DASG Senate and De Anza College do not tolerate discrimination, and any instances of antisemitism on campus should be reported to Judicial Affairs to be dealt with appropriately by the college. The fight against antisemitism is a part of a larger fight against white supremacy, and the DASG Senate is committed to challenging all forms of bigotry and discrimination.""
</p>",55,5/12/2021,General A/S,De Anza College,2021
"<p>The student government reportedly passed a resolution supporting the IHRA definition of antisemitism. Entry to be updated when more information is available.
</p>",54,4/29/2021,IHRA Definition,University of Texas San Antonio,2021
"<p>The student government unanimously <a href=""https://www.jpost.com/breaking-news/penn-state-student-government-adopts-ihra-definition-of-antisemitism-666760"" target=""_blank"">passed</a> a resolution supporting the IHRA definition of antisemitism.  </p>",53,4/28/2021,IHRA Definition,Pennsylvania State University,2021
