University,Date,Student,Quote,Number,Year
University of Pittsburgh,1/23/2024,University of Pittsburgh Jewish student (Riley),"<p>""I’ve given up on the fact the chancellor will just suddenly protect Jews on campus."" <a href=""https://www.thecollegefix.com/ive-given-up-jewish-students-want-more-from-pitt-chancellor/"" target=""_blank"">Read more</a>
</p>",1292,2024
American University,1/17/2024,American University Jewish Student (Unnamed),"<p>“I have never been one to shy away from showing my Judaism loud and proud, but now I always carry a sense of fear with me. I am constantly checking my surroundings to make sure no one is following me. I get dirty looks often on campus, and people whisper things under their breath when they see me. I wish it weren’t like this, but this is our new reality.” <a href=""https://freebeacon.com/wp-content/uploads/2024/01/AU-Complaint-redacted-v1.1_Redacted.pdf"" target=""_blank"">Read more</a>
</p>",1287,2024
American University,1/17/2024,American University Jewish Student (Unnamed in Title VI Complaint),"<p>“Since Oct 7th I have been called an imperialist, white supremacist, fascist, and so much more by my peers both to my face and on social media. What’s even worse I have lost so many of my ‘dear friends’ who do not approve of my advocacy or do not feel comfortable being associated with a Jewish Zionist. After seeing the death threats online and graffitied I raised my concerns about my safety multiple times to various faculty and administrators. The last administrator I talked to even told me that my safety is within myself, and he can’t do anything to make me feel safe. I have never felt safe as a Jew at AU and Oct 7 has only made that worse. Oct 7th was not the first time my parents asked me to take off my Jewish necklaces when on campus and I’m afraid it won’t be the last if changes are not made.”  <a href=""https://freebeacon.com/wp-content/uploads/2024/01/AU-Complaint-redacted-v1.1_Redacted.pdf"" target=""_blank"">Read more</a>
</p>",1288,2024
American University,1/17/2024,American University Jewish Student (Unnamed in Title VI Complaint),"<p> “It is heartbreaking to see how little Israeli lives matter at American University. When I stand up for my people, I am only met with hate and hostility rather than support or understanding. This hostility is intensified by the University administration's failure to adequately address and protect the needs of their Jewish students. It's exhausting to constantly defend my people, especially when those in authority are not taking my safety and well-being seriously.”  <a href=""https://freebeacon.com/wp-content/uploads/2024/01/AU-Complaint-redacted-v1.1_Redacted.pdf"" target=""_blank"">Read more</a>
</p>",1289,2024
American University,1/17/2024,American University Jewish Student (Unnamed in Title VI Complaint),"<p>“We had a meeting with various members who work in resident life to discuss safety procedures and the incident/investigation into the swastikas that were found drawn on the doors of Jewish students. During the meeting, we were told no progress had been made on finding the person who drew the graffiti. Afterward, I approached employees who work in both resident life and academics and asked them since this is the third year in a row in which anti-Semitic graffiti has been found in first-year dorms, what will the school do differently next year to prevent a similar incident? All the employees who I talked to had no answer. They said they hadn’t thought about it, or believed it wouldn’t happen again, or had no ideas on how to prevent it. Some didn’t even realize this type of incident had happened before.”   <a href=""https://freebeacon.com/wp-content/uploads/2024/01/AU-Complaint-redacted-v1.1_Redacted.pdf"" target=""_blank"">Read more</a>
</p>",1290,2024
American University,1/17/2024,American University Jewish Student (Unnamed in Title VI Complaint),"<p> “On October 11th, I attended a pro-Israel rally on the quad. I stood on the outskirts of the rally to listen to what the counter-protestors were saying. While a speaker was crying about the death of Jewish babies, dozens of counter-protestors screamed that the proven death of these babies was ‘misinformation’ and they asked that we ‘show proof,’... Later, the same student remarked ‘Oh, and look how they’re all white. I don’t see a single Jew of color in the crowd’ and I immediately shouted, ‘What about me?’ and she stuttered out of shock and embarrassment and then said ‘Why aren’t you there with them?’ (Referring to how I’m watching the rally from the sidelines) and I responded, ‘Because I’m hearing all the things you’re saying, and they’re disgusting-’ and then I got cut off by a dozen people shouting at me all at once. And as I turned around and walked away, they all shouted verbatim ‘Walk away fascist walk away.’ Up until this point in the rally, I had hidden that I’m a Jew by using wording like ‘People are mourning’ instead of ‘My people are mourning’ when talking to the counter-protesters. The first time I talked to them, I didn’t reveal I was Jewish, and they did not call me a fascist as I walked away. The second time I talked to them, I did reveal that I am Jewish, and I was called a fascist as I walked away. One of the counter-protestors was someone I used to call a friend, and she had even waved to me before I confronted them. She ended up being one of the same people who was screaming at me, calling me a fascist after I revealed I was Jewish. I was stunned that someone whom I used to call friend would turn on me so quickly, just because they had found out I am Jewish.” <a href=""https://freebeacon.com/wp-content/uploads/2024/01/AU-Complaint-redacted-v1.1_Redacted.pdf"" target=""_blank"">Read more</a>
</p>",1291,2024
Harvard University,1/16/2024,Harvard Jewish Student (Alex),"<p>""There’s a tremendous amount of tension, nerves, anxiety... I am home just now for the break and my parents don’t want me to go back to campus. They’re afraid for my physical safety... I wouldn't be surprised in the slightest if there are physical attacks on Jewish students when we go back. We have no reason to believe the spring semester will be any better, and actually a lot of reason to believe that there will be increased and intensified acts of antisemitism given the accelerated antisemitic posts on social media."" <a href=""https://www.dailymail.co.uk/news/article-12957849/jewish-harvard-students-refund-lawsuit-antisemitism-claudine-gay-bullying.html"" target=""_blank"">Read more</a>
</p>",1284,2024
Occidental College,1/15/2024,Occidental College Jewish Student (Anonymous) [NOTE - student transferred out of Occidental due to the negative campus climate],"<p>""There was this massacre of people in Israel and a very loud silence from the school. Then there was a very loud voice from Students for Justice in Palestine saying, ‘Free Palestine from the river to the sea,’ and ‘There’s genocide happening.’ It was just a one-sided conversation on campus and I wasn’t comfortable being one versus 1,000. I had this overwhelming feeling that I don’t belong there — that I shouldn’t be there."" <a href=""https://forward.com/news/574732/occidental-antisemitism-israel-palestine/"" target=""_blank"">Read more</a>
</p>",1283,2024
University of California Los Angeles,1/11/2024,"UCLA Student in the Class, ""The Globalization of Antisemitism: A Survey of Transnational Trends"" (Anastasia)","<p>""[Pro-Palestinian students in an antisemitism class appeared comfortable to speak up and demonize Israel, while most Jewish students did not feel comfortable speaking about how they feel, which 'mirrors the overall climate on campus.'] 'It’s been really hard [for Jewish students]. The other day there was a big banner on campus that said Israel is committing Nazi-style occupation. It’s difficult for me to see so many pro-Palestinian rallies taking over and getting so boisterous. Everything is a little bit scarier.'"" <a href=""https://jewishinsider.com/2024/01/sharon-nazarian-adl-ucla-antisemitism-students-oct-7/"" target=""_blank"">Read more</a>
</p>",1282,2024
Harvard University,1/10/2024,Harvard University Jewish Student (Shabbos),"<p>“On the Sidechat app, people take off their masks. It’s not about ‘context’ anymore, or anti-Zionism: it’s out-and-out hatred for Jews... As a Jewish student, I don’t feel safe coming back to campus two weeks from now” <a href=""https://www.timesofisrael.com/antisemitism-skyrockets-on-harvards-social-media-after-claudine-gays-departure/"" target=""_blank"">Read more</a>
</p>",1280,2024
