University Name,University Address,University Address : Street 1,University Address : Street 2,University Address : City,University Address : State,University Address : Zip,University Address : Country,University Address : Latitude,University Address : Longitude,University Number,Geographical Region,State
Adler University,"17 North Dearborn St. Chicago, IL 60602",17 North Dearborn St.,,Chicago,IL,60602,,41.88461,-87.629325,402,Midwest,Illinois
Alabama A&M University,"4900 Meridian St N Huntsville, AL 35811",4900 Meridian St N,,Huntsville,AL,35811,,34.783789,-86.572355,592,South,Alabama
Albion College,"611 E Porter St. Albion, MI 49224",611 E Porter St.,,Albion,MI,49224,,42.24392,-84.74582,1,Midwest,Michigan
Allan Hancock College,"800 S College Dr, Santa Maria, CA 93454","800 S College Dr,",,Santa Maria,CA,93454,,34.94382,-120.42144,516,West,California
Allegheny College,"520 N Main St Meadville, PA 16335",520 N Main St,,Meadville,PA,16335,,41.64797,-80.14624,593,Northeast,Pennsylvania
American Jewish University,"15600 Mulholland Dr. Los Angeles, CA 90077",15600 Mulholland Dr.,,Los Angeles,CA,90077,,34.12891,-118.4707,508,West,California
American River College,"4700 College Oak Dr Sacramento, CA 95841",4700 College Oak Dr,,Sacramento,CA,95841,,38.64935,-121.34829,685,West,California
American University,"4400 Massachusetts Ave NW Washington, DC 20016",4400 Massachusetts Ave NW,,Washington,DC,20016,,38.93624,-77.08622,2,South,"Washington, D.C."
Amherst College,"220 South Pleasant Street Amherst, MA 1002",220 South Pleasant Street,,Amherst,MA,1002,,42.370233,-72.519705,403,Northeast,Massachusetts
Anne Arundel Community College,"101 College Pkwy Arnold, MD 21012",101 College Pkwy,,Arnold,MD,21012,,39.054215,-76.515801,3,South,Maryland
Antioch University Seattle,"2400 3rd Ave #200 Seattle, WA 98121",2400 3rd Ave #200,,Seattle,WA,98121,,47.61582,-122.34615,362,West,Washington
Appalachian State University,"287 Rivers St, Boone, NC 28608","287 Rivers St,",,Boone,NC,28608,,36.211159,-81.677439,4,South,North Carolina
Arizona State University,"1151 S. Forest Ave Tempe, AZ 85281",1151 S. Forest Ave,,Tempe,AZ,85281,,33.416801,-111.936444,5,West,Arizona
Arkansas Tech University,"215 W O St. Russellville, AR 72801",215 W O St.,,Russellville,AR,72801,,35.29368,-93.13594,499,South,Arkansas
Atlanta University Center Consortium,"156 Mildred St SW Atlanta, GA 30314",156 Mildred St SW,,Atlanta,GA,30314,,33.750246,-84.411778,363,South,Georgia
Auburn University,"182 S College St Auburn, AL 36849",182 S College St,,Auburn,AL,36849,,32.604459,-85.481885,6,South,Alabama
