,id,date,city,state,type,ideology,subideology,group,description,image
0,67934,11/5/2024,Santa Monica,CA,Antisemitic Incident:Vandalism,,,,A swastika was drawn in feces on a trash can in a public park.,
1,67931,11/4/2024,Denver,CO,Antisemitic Incident:Vandalism,,,,An individual spray-painted several swastikas on the exterior of a community recreation center.,
2,67932,11/4/2024,Glassboro,NJ,Antisemitic Incident:Vandalism,,,,A mezuzah was ripped from the doorframe of a Jewish student's dorm room at Rowan University.,
3,67933,11/4/2024,New York,NY,Antisemitic Incident:Vandalism,,,,"Graffiti was written on a utility box that read: ""All Zionists are evil.""",
4,67930,11/2/2024,Mountain Lakes,NJ,Antisemitic Incident:Harassment,Right Wing (White Supremacist),,Goyim Defense League (GDL),"Individuals associated with the antisemitic Goyim Defense League and white supremacist White Lives Matter distributed propaganda around a residential area that read: ""Every single aspect of the Jewish Talmud is Satanic"" and advertised an antisemitic film that denies the Holocaust.",
5,67925,11/1/2024,Boston,MA,Antisemitic Incident:Vandalism,,,,A sticker depicting an Israeli flag with a swastika replacing the Star of David was pasted on a street sign.,
6,67926,11/1/2024,Medina,OH,Antisemitic Incident:Harassment,Right Wing (White Supremacist),,Goyim Defense League (GDL),"Individuals associated with the antisemitic Goyim Defense League distributed propaganda in a public area that read: ""Every single aspect of the Jewish Talmud is Satanic"" and ""The Jew's plan for world domination.""",
7,67927,11/1/2024,Philadelphia,PA,Antisemitic Incident:Vandalism,,,,"The Jewish fraternity house at Temple University was vandalized with graffiti that read: ""Israel [equals] genocide.""",
8,67928,11/1/2024,Chesapeake,VA,Antisemitic Incident:Harassment,,,,"A Jewish individual received several messages on Instagram from an individual who made violent antisemitic threats, including: ""Your time is coming Jewish whore.""",
9,67929,11/1/2024,Sammamish,WA,Antisemitic Incident:Harassment,,,,"After a high school student revealed to their classmates that they were Jewish, a swastika made from zip ties was left next to their class materials.",
10,67919,10/31/2024,San Luis Obispo,CA,Antisemitic Incident:Vandalism,,,,"Graffiti was spray-painted on campus buildings around California Polytechnic State University that read: ""From Gaza to Cal Poly, let the intifada spread.""",
11,67920,10/31/2024,New Orleans,LA,Antisemitic Incident:Vandalism,,,,"""Intifada,"" a slogan commonly used as a call for violence against Israel and the Jewish community, was spray-painted in large letters on the side of a business.",
12,67921,10/31/2024,Brookline,MA,Antisemitic Incident:Vandalism,,,,A sticker depicting an Israeli flag with a swastika replacing the Star of David was pasted on a street sign.,
13,67922,10/31/2024,Brooklyn,NY,Antisemitic Incident:Harassment,,,,"An individual harassed visibly Jewish patrons at a kosher cafe, stating, ""You guys are killing babies,"" ""Jewish people are evil,"" ""You guys are trying to kill Trump"" and ""Hitler was onto something.""",
