UNIVERSITY NAME,CAMPUS PAPER 1 TRAD (NAME),CAMPUS PAPER 1 TRAD  (URL),CAMPUS PAPER 2 LIBERAL (Name),CAMPUS PAPER 2  liberal (URL),CAMPUS PAPER 3 (Name),CAMPUS PAPER 3 (URL),CAMPUS PAPER 4 (Name),CAMPUS PAPER 4 (URL),CAMPUS PAPER 5 (Name),CAMPUS PAPER 5 (URL),,,,
American University,The Eagle,https://www.theeagleonline.com,The Blackprint,https://www.theblackprintau.com,AWOL,https://awolau.org,,,,,,,,
Arizona State University,ASU News,https://news.asu.edu,The State Press,https://www.statepress.com,,,,,,,,,,
Bentley University,The Vanguard,https://www.bentley-vanguard.com,,,,,,,,,,,,
Boston College,The Torch,https://bctorch.com,The Heights,https://www.bcheights.com,,,,,,,,,,
Boston University,The Emerald Review,https://emeraldreview.com,The Daily Free Press,https://dailyfreepress.com,International Relations Review,https://www.irreview.org,Boston University News Service,https://bunewsservice.com,BU Today,https://www.bu.edu/today/,,,,
Brandeis University,The Justice,https://www.thejustice.org,The Brandies Hoot,https://brandeishoot.com,Brandeis Magazine,https://www.brandeis.edu/magazine/,,,,,,,,
Brown University,The Brown Daily Herald,https://www.browndailyherald.com,News From Brown,https://www.brown.edu/news,The College Hill Independent,https://www.theindy.org,Impact: Research at Brown,https://www.brown.edu/research/impact/2022,The Brown Noser,http://thenoser.com,,,,
"California Polytechnic State University, SLO",Mustang News,https://mustangnews.net/,,,,,,,,,,,,
Carnegie Mellon University,The Tartan,https://the-tartan.org,,,,,,,,,,,,
Case Western Reserve University,The Observer,https://observer.case.edu,,,The Daily,https://thedaily.case.edu/,,,,,,,,
Chapman University,The Chapman News,https://news.chapman.edu,The Panther,https://www.thepanthernewspaper.org/,,,,,,,,,,
Claremont Colleges,The Student Life,https://tsl.news,,,,,,,,,,,,
Claremont Colleges - Claremont McKenna,Claremont Independent,https://www.claremontindependent.com,CMC Forum,https://www.cmcforum.com,,,,,,,,,,
Claremont Colleges - Pitzer,The Outback News,https://theoutback.news/,The Student Life,https://tsl.news,,,,,,,,,,
Claremont Colleges - Pomona,,,,,,,,,,,,,,
Claremont Colleges - Scripps,The Scripps Voice,https://scrippsvoice.com/,,,,,,,,,,,,
Clark University,The Scarlet,https://thescarlet.org,,,Clark Now,https://clarknow.clarku.edu,,,,,,,,
Columbia University/Barnard College,Columbia Daily Spectator,https://www.columbiaspectator.com,The Barnard Bulletin,https://thebarnardbulletin.com,Barnard College News,https://barnard.edu/news,,,,,,,,
Cornell University,Cornell Daily Sun,https://cornellsun.com,Cornell Chronicle,https://news.cornell.edu,Cornell Review,https://www.thecornellreview.org,,,,,,,,
CSU Northridge,Daily Sundial,https://sundial.csun.edu,CSUN Today,https://csunshinetoday.csun.edu/,,,,,,,,,,
CUNY,CUNY News,https://www1.cuny.edu/mu/forum/,Brooklyn News Service,https://journalism.blog.brooklyn.edu,Brooklyn College Press Room,https://www.brooklyn.cuny.edu/web/news/press-room.php,,,,,,,,
CUNY Baruch College,The Ticker,https://theticker.org,News Center,https://newscenter.baruch.cuny.edu,,,,,,,,,,
CUNY Brooklyn College,Brooklyn College Vanguard,https://vanguard.blog.brooklyn.edu,News and Events,https://www.brooklyn.edu/news-events/,,,Brooklyn News Service,http://journalism.blog.brooklyn.edu,,,,,,
CUNY College of Staten Island,The Banner,https://thebannercsi.com,CSI Today,https://csitoday.com,,,,,,,,,,
CUNY Hunter College,The Envoy,https://thehunterenvoy.wordpress.com,Hunter College News,https://hunter.cuny.edu/news/?news-feed=spotlight,,,,,,,,,,
CUNY Queens College,The Knight News,https://www.theknightnews.com/,Queens College News,https://www.qc.cuny.edu/its/news/,,,,,,,,,,
Dartmouth College,The Dartmouth,https://www.thedartmouth.com,Dartmouth News,https://home.dartmouth.edu/news,The Dartmouth Review,https://dartreview.com,,,,,,,,
DePaul University,The DePaulia,https://depauliaonline.com,14 East,http://fourteeneastmag.com/?s=Israel,The Ram Page,https://depaulpreprampage.com,,,,,,,,
Drexel University,The Triangle,https://www.thetriangle.org,Drexel News,https://drexel.edu/news/,The Hawk,https://www.sjuhawknews.com/tag/drexel-university/,,,,,,,,
Duke University,The Chronicle,https://www.dukechronicle.com,Duke News,https://news.duke.edu,Duke Today,https://today.duke.edu,,,,,,,,
Elon University,Elon News Network,https://www.elonnewsnetwork.com,Today at Elon,https://www.elon.edu/u/news/,The Pendulum,https://www.elonnewsnetwork.com/staff/the-pendulum,,,,,,,,
Emerson College,The Berkeley Beacon,https://berkeleybeacon.com,Emerson Today,https://today.emerson.edu,Ploughshares,https://www.pshares.org,,,,,,,,
Emory University,The Emory Wheel,https://emorywheel.com,Emory News Center,https://news.emory.edu,,,,,,,,,,
Florida Atlantic University,University Press,https://www.upressonline.com,Student News,https://www.fau.edu/student/news/,FAU News Desk,https://www.fau.edu/newsdesk/,,,,,,,,
Florida International University,FIU News,https://news.fiu.edu,Panther Now,https://panthernow.com,,,,,,,,,,
Florida State University,Florida State University News,https://news.fsu.edu,The Capital Collegian,https://capitolcollegian.com/,FSU News,https://www.fsunews.com,,,,,,,,
Fordham University,The Observer,https://fordhamobserver.com,The Fordam Ram,https://thefordhamram.com/,,,,,,,,,,
George Washington University,The GW Hatchet,https://gwhatchet.com,GW Today,https://gwtoday.gwu.edu,,,,,,,,,,
Georgetown University,The Hoya,https://thehoya.com,The Georgetown Voice,https://georgetownvoice.com,The Georgetonian,https://georgetoniancom.wordpress.com,,,,,,,,
Harvard University,The Crimson,https://www.thecrimson.com,The Harvard Independent,https://harvardindependent.com,Harvard Salient,https://www.salientharvard.com,,https://hlrecord.org,,,,,,
Hofstra University,Hofstra Chronicle,https://www.thehofstrachronicle.com,News@Hofstra,https://news.hofstra.edu,,,,,,,,,,
