Id,Hateful or Not,Class of Hate,Text,User,Source,Date,Group Targeted,Trope
1293279804758937600,0,,"All through German-ruled Europe, Jews were a special target. In what became a policy known as “The Final Solution to the Jewish Question,” the Germans aimed not only to kill every last Jew, but also to remove all evidence of the Jewish people’s contribution to human civilization.",auschwitzxhibit,Subverting the Jewtocracy,08/11/2020,,
1280086510902095876,0,,"@PontybreninR
 Great start to the week,watched zog while having breakfast and spent rest of the morning learning doubles.
Leo also spent a lot of time looking at his own reflection in the mirror 🙈🤣",Victori92472991,Subverting the Jewtocracy,07/06/2020,,
1289577592350289923,1,0,1 Corinthians 6:9-11,E_Keith_M,Subverting the Jewtocracy,08/01/2020,Jewish people,
1322876870380210000,1,0,"#USA 
As long as there are Saudi oil dollars, the looting thoughts of the American rulers are world-eating. As long as the Zionist regime's cancer is in this region, we should watch.",Akbar07686205,Subverting the Jewtocracy,08/10/2020,Jewish people,
1137888065308020000,1,1,Where was Israel in 1589? 1800? 1420? What monetary system did Israel use in 1785? What leader did Israel have in 1810?,Joseetje3,Subverting the Jewtocracy,08/11/2020,Jewish people,
1316924978072268800,1,2,"#Yashaya our Messiah 📖 Hebrews 7:14 For it is evident that our Lord sprang out of Judah; of which tribe Moses spake nothing concerning priesthood 📖 Jeremiah 11:9 And the Lord said unto me, A #conspiracy is found among the men of Judah, and among the inhabitants of Jerusalem",Shemuah,Subverting the Jewtocracy,10/15/2020,Jewish people,
1293327717501480965,1,2,Not true.. she supports sharia law.. do some research.. she believes in #BDS and her husband is a self hating Jew.. why lie???,originalmelk,Subverting the Jewtocracy,08/11/2020,Jewish people,
1293227480157913090,1,3,being a zionist and having a face like that must be a struggle,yeagerbros,Subverting the Jewtocracy,08/09/2020,Jewish people,
1292201485053440000,1,3,What is going on is unacceptable and amounts to a national humiliation. It's time to declare an emergency in the English Channel.,Nigel_Farage,Subverting the Jewtocracy,08/10/2020,Jewish people,
,0,,@DJAtrainflip mmmm u ar tuchin me right there!!!!!!!!play for me anysong okey,,Echo,,,
,0,,"Sometimes when you Google ""Yuezheng Ling"" it comes up with someone called ""Ling Caiyin"" haha! They almost look like twins （・∀・）",,Echo,,,
,1,,RT @realEmilyYoucis: Even in highschool I knew just what to do with (((commies))) https://t.co/e2Bu1bv82E,,Echo,,Jewish people,
,1,,"RT @dril: i refuse to consume any product that has been created by, or is claimed to have been created by, the (((Keebler Elves)))",,Echo,,Jewish people,
,1,,@JaredTSwift @Ricky_Vaughn99 @Rockprincess818 the (((Breitbart))) article is pretty cucked imo in that it fixates on Muslims. Dat last line.,,Echo,,Jewish people,
,1,,"@Seanguy1234 ""Jeb Bush""? more like (((Jeb Bush)))",,Echo,,Jewish people,
,1,,"RT @DrDavidDuke: (((New America))) unleashed during #HillarysAltRightSpeech today. 
 

 #AltRight #AltRightMeans #cuckservatives #MAGA https:/…",,Echo,,Jewish people,
