,,fleiss_kappa,percent_agreement,krippendorff_alpha
0,binary,0.8170385441696549,0.818407960199005,0.8171295697695707
1,categories,0.8400666334278183,0.7835820895522388,0.6971171187794226
2,class_SUPPRESSION OF SPEECH/MOVEMENT/ASSEMBLY,0.8883333333333323,0.9875621890547264,0.8883888888888889
3,class_CALLS FOR BDS,0.855019401963022,0.9203980099502488,0.8550915316137868
4,class_BDS EVENT,0.6613421705907448,0.8557213930348259,0.6615106570730382
5,class_BDS VOTE,0.7538775510204073,0.9751243781094527,0.754
6,class_DENIGRATION,0.8851134321137354,0.8880597014925373,0.8851705896101961
7,class_DENYING JEWS SELF-DETERMINATION,0.9025878068313268,0.9402985074626866,0.9026362706090229
8,class_CONDONING TERRORISM,0.9483598470834878,0.9900497512437811,0.9483855387018539
9,class_HISTORICAL,0.7336357302962385,0.9651741293532339,0.7337682498334039
10,class_BULLYING,0.9209494308583761,0.9776119402985075,0.9209887594997397
11,class_DESTRUCTION OF JEWISH PROPERTY,0.9160155433919692,0.9751243781094527,0.9160573267037145
12,class_PHYSICAL ASSAULT,1.0,1.0,1.0
13,class_GENOCIDAL EXPRESSION,0.9332551137873037,0.9925373134328358,0.933288320198353
14,class_DEMONIZATION,0.8903641862611349,0.9129353233830846,0.8904187314420994
15,class_DISCRIMINATION,0.8692580884361717,0.9900497512437811,0.8693231341633169
