,,fleiss_kappa,percent_agreement,krippendorff_alpha
0,binary,0.7529794107243183,0.8009950248756219,0.7531023065398781
1,categories,0.826694257630626,0.7388059701492538,0.7121160834759375
2,class_SUPPRESSION OF SPEECH/MOVEMENT/ASSEMBLY,0.9342989344006278,0.9900497512437811,0.9343316214979407
3,class_CALLS FOR BDS,0.8316506232468202,0.8805970149253731,0.8317343791556523
4,class_BDS EVENT,0.798602078756881,0.835820895522388,0.7987022767276492
5,class_BDS VOTE,0.8382469893206096,0.9850746268656716,0.8383274634552753
6,class_DENIGRATION,0.8580221394751245,0.9079601990049752,0.8580927752266292
7,class_DENYING JEWS SELF-DETERMINATION,0.8912762779530419,0.9378109452736318,0.8913303693570451
8,class_CONDONING TERRORISM,0.9154424756423845,0.9850746268656716,0.9154845440624632
9,class_HISTORICAL,0.9901776621467622,0.9950248756218906,0.9901825488820127
10,class_BULLYING,0.9594398256517879,0.9925373134328358,0.9594600048430059
11,class_DESTRUCTION OF JEWISH PROPERTY,0.8689777777777777,0.9676616915422885,0.869042962962963
12,class_PHYSICAL ASSAULT,1.0,1.0,1.0
13,class_GENOCIDAL EXPRESSION,0.9766769396431688,0.9900497512437811,0.9766885431557841
14,class_DEMONIZATION,0.8700145620209712,0.9129353233830846,0.8700792313931001
15,class_DISCRIMINATION,0.9125311145537764,0.9950248756218906,0.9125746314122091
