,,fleiss_kappa,percent_agreement,krippendorff_alpha
0,binary,N/A,N/A,N/A
1,categories,0.9480154936243544,0.9402985074626866,0.9608435225499918
2,class_SUPPRESSION OF SPEECH/MOVEMENT/ASSEMBLY,0.9324642161145101,0.9900497512437811,0.9324978160069888
3,class_CALLS FOR BDS,0.9299167790533205,0.9502487562189055,0.9299516463274234
4,class_BDS EVENT,0.9272277165380771,0.9328358208955224,0.9272639216542276
5,class_BDS VOTE,0.8995266640776103,0.9751243781094527,0.8995766508118999
6,class_DENIGRATION,0.9267259056732741,0.9253731343283582,0.926762360446571
7,class_DENYING JEWS SELF-DETERMINATION,0.9309536384598539,0.9477611940298507,0.9309879898835057
8,class_CONDONING TERRORISM,0.936495298756445,0.9850746268656716,0.9365268931351733
9,class_HISTORICAL,0.7891490433031221,0.9900497512437811,0.7892539442766029
10,class_BULLYING,0.9181526542405527,0.9751243781094527,0.9181933743130701
11,class_DESTRUCTION OF JEWISH PROPERTY,0.9439866706169822,0.9800995024875622,0.9440145379450339
12,class_PHYSICAL ASSAULT,0.9025860732009912,0.9950248756218906,0.9026345378411911
13,class_GENOCIDAL EXPRESSION,0.8689465190956658,0.9925373134328358,0.8690117198324341
14,class_DEMONIZATION,0.9329242081447967,0.9402985074626866,0.9329575791855204
15,class_DISCRIMINATION,0.9626133457335493,0.9950248756218906,0.962631946059056
