,,fleiss_kappa,percent_agreement,krippendorff_alpha
0,binary,N/A,N/A,N/A
1,categories,0.9576912966155845,0.9477611940298507,0.9754945140157684
2,class_SUPPRESSION OF SPEECH/MOVEMENT/ASSEMBLY,0.9560150305425137,0.9925373134328358,0.9560369136118944
3,class_CALLS FOR BDS,0.9523985559566787,0.9601990049751243,0.952422238267148
4,class_BDS EVENT,0.9635999897734829,0.9601990049751243,0.9636180992313068
5,class_BDS VOTE,0.9884898842689361,0.9975124378109452,0.9884956106946727
6,class_DENIGRATION,0.9525799320270726,0.9626865671641791,0.9526035241006909
7,class_DENYING JEWS SELF-DETERMINATION,0.9337268521649739,0.9601990049751243,0.9337598238803144
8,class_CONDONING TERRORISM,0.9900408276518157,0.9975124378109452,0.9900457824639289
9,class_HISTORICAL,0.9864718042401811,0.9925373134328358,0.9864785346858325
10,class_BULLYING,0.9527289364758998,0.9875621890547264,0.9527524544179523
11,class_DESTRUCTION OF JEWISH PROPERTY,0.9622201109987145,0.9875621890547264,0.9622389069633923
12,class_PHYSICAL ASSAULT,1.0,1.0,1.0
13,class_GENOCIDAL EXPRESSION,0.9889920677168561,0.9950248756218906,0.9889975443000817
14,class_DEMONIZATION,0.91874191461837,0.9402985074626866,0.91878234152652
15,class_DISCRIMINATION,0.9102464872588666,0.9925373134328358,0.9102911407477972
