,Class/Category,Percent Antisemitic,Accuracy,Precision,Recall,F1,WF1,n,wn
0,Overall,0.9358276643990929,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,ANTISEMITIC EXPRESSION,0.9825970548862115,0.4072562358276644,0.21874058451340767,0.9718875502008032,0.3571077225774717,N/A,0.16938775510204082,N/A
2,TARGETING JEWISH STUDENTS AND STAFF,0.9262899262899262,0.3489795918367347,0.9900990099009901,0.2184002184002184,0.35786177588906287,N/A,0.8306122448979592,N/A
3,Category Mean,0.9544434905880689,0.37811791383219956,0.6044197972071989,0.5951438843005108,0.3574847492332673,0.3577340484913852,N/A,N/A
4,PHYSICAL ASSAULT,0.9741379310344828,0.9934240362811791,0.9223300970873787,0.8189655172413793,0.867579908675799,0.45023696682464454,0.026303854875283448,116
5,DISCRIMINATION,0.9204892966360856,0.937641723356009,0.6688311688311688,0.3149847094801223,0.4282744282744283,0.3097744360902256,0.07414965986394557,327
6,DESTRUCTION OF JEWISH PROPERTY,0.9668367346938775,0.9523809523809523,0.8888888888888888,0.5306122448979592,0.6645367412140575,0.4392819429778247,0.08888888888888889,392
7,GENOCIDAL EXPRESSION,0.9897013388259527,0.7571428571428571,0.4673202614379085,0.7363542739443872,0.5717712914834067,0.3602015113350126,0.2201814058956916,971
8,SUPPRESSION OF SPEECH/MOVEMENT/ASSEMBLY,0.8625514403292182,0.7965986394557824,0.7172131147540983,0.43209876543209874,0.539291217257319,0.3934057699512926,0.2755102040816326,1215
9,BULLYING,0.9575971731448764,0.7485260770975056,0.9090909090909091,0.24028268551236748,0.3801006148686417,0.28309741881765194,0.32086167800453513,1415
10,DENIGRATION,0.9241134751773049,0.4811791383219955,0.37275362318840577,0.9120567375886525,0.5292181069958848,0.3283543980594919,0.3197278911564626,1410
11,HISTORICAL,0.9917695473251029,0.7968253968253968,0.8164414414414415,0.49725651577503427,0.618073316283035,0.43833131801692865,0.3306122448979592,1458
12,CONDONING TERRORISM,0.9801980198019802,0.9467120181405896,0.7920792079207921,0.9052333804809052,0.8448844884488449,0.6349206349206349,0.16031746031746033,707
13,Type Mean,0.9519327729965423,0.8233812043335853,0.728327634737888,0.5986494255947674,0.6048589015001574,0.38759261363700154,N/A,890.1111111111111
