,Class/Category,Percent Antisemitic,Accuracy,Precision,Recall,F1,WF1,n,wn
0,Overall,0.937641723356009,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,ANTISEMITIC EXPRESSION,0.9491298527443106,0.4095238095238095,0.21492170709241634,0.9370816599732262,0.34965034965034963,N/A,0.16938775510204082,N/A
2,TARGETING JEWISH STUDENTS AND STAFF,0.9352989352989353,0.36439909297052153,0.989749430523918,0.23723723723723725,0.3827350803787712,N/A,0.8306122448979592,N/A
3,Category Mean,0.942214394021623,0.3869614512471655,0.6023355688081672,0.5871594486052317,0.3661927150145604,0.37713093211252835,N/A,N/A
4,PHYSICAL ASSAULT,0.9655172413793104,0.9934240362811791,0.8717948717948718,0.8793103448275862,0.8755364806866953,0.44155844155844154,0.026303854875283448,116
5,DISCRIMINATION,0.9388379204892966,0.9095238095238095,0.41964285714285715,0.5749235474006116,0.48516129032258065,0.3289588801399825,0.07414965986394557,327
6,DESTRUCTION OF JEWISH PROPERTY,0.9668367346938775,0.9496598639455782,0.9086538461538461,0.48214285714285715,0.63,0.42954545454545456,0.08888888888888889,392
7,GENOCIDAL EXPRESSION,0.9917610710607621,0.8467120181405896,0.5928256765261171,0.9701338825952626,0.7359375,0.4433984466933396,0.2201814058956916,971
8,SUPPRESSION OF SPEECH/MOVEMENT/ASSEMBLY,0.8888888888888888,0.7875283446712018,0.6974431818181818,0.40411522633744856,0.5117248566961959,0.3665546845837999,0.2755102040816326,1215
9,BULLYING,0.9498233215547703,0.7775510204081633,0.9018518518518519,0.3441696113074205,0.49820971867007674,0.34319943622269206,0.32086167800453513,1415
10,DENIGRATION,0.9425531914893617,0.692063492063492,0.5114335971855761,0.824822695035461,0.6313789359391965,0.42592931697491304,0.3197278911564626,1410
11,HISTORICAL,0.9931412894375857,0.8081632653061225,0.6622481442205727,0.8566529492455418,0.7470095693779905,0.49662027833001987,0.3306122448979592,1458
12,CONDONING TERRORISM,0.9434229137199435,0.9383219954648526,0.7975376196990424,0.8246110325318247,0.8108484005563282,0.6004119464469619,0.16031746031746033,707
13,Type Mean,0.9534202858570886,0.8558830939783321,0.707047960710324,0.6845424607137793,0.6584229724721182,0.4291383267819035,N/A,890.1111111111111
