,Class/Category,Percent Antisemitic,Accuracy,Precision,Recall,F1,WF1,n,wn
0,Overall,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,ANTISEMITIC EXPRESSION,0.9933065595716198,0.3870748299319728,0.21436915887850466,0.9825970548862115,0.35195396787341166,N/A,0.16938775510204082,N/A
2,TARGETING JEWISH STUDENTS AND STAFF,0.9792519792519793,0.3709750566893424,0.9911602209944751,0.24488124488124488,0.3927320490367776,N/A,0.8306122448979592,N/A
3,Category Mean,0.9862792694117996,0.3790249433106576,0.6027646899364899,0.6137391498837282,0.3723430084550946,0.3858247414111462,N/A,N/A
4,PHYSICAL ASSAULT,0.9913793103448276,0.9934240362811791,0.8849557522123894,0.8620689655172413,0.8733624454148472,0.45146726862302483,0.026303854875283448,116
5,DISCRIMINATION,0.9877675840978594,0.9240362811791383,0.4858156028368794,0.41896024464831805,0.44991789819376027,0.31101021566401815,0.07414965986394557,327
6,DESTRUCTION OF JEWISH PROPERTY,1.0,0.9494331065759637,0.8028673835125448,0.5714285714285714,0.6676602086438153,0.43159922928709055,0.08888888888888889,392
7,GENOCIDAL EXPRESSION,0.9989701338825953,0.7746031746031746,0.4908802537668517,0.6374871266735325,0.5546594982078853,0.3578034682080925,0.2201814058956916,971
8,SUPPRESSION OF SPEECH/MOVEMENT/ASSEMBLY,0.9580246913580247,0.8170068027210884,0.7251655629139073,0.5407407407407407,0.6195190947666195,0.4421265141318977,0.2755102040816326,1215
9,BULLYING,0.9851590106007068,0.7555555555555555,0.9160493827160494,0.26219081272084804,0.4076923076923077,0.3010141987829615,0.32086167800453513,1415
10,DENIGRATION,0.9808510638297873,0.507482993197279,0.3905801263641585,0.9645390070921985,0.5560098119378577,0.3463644467082644,0.3197278911564626,1410
11,HISTORICAL,0.9993141289437586,0.7646258503401361,0.7868852459016393,0.3950617283950617,0.5260273972602739,0.39411563462196375,0.3306122448979592,1458
12,CONDONING TERRORISM,0.9900990099009901,0.9537414965986395,0.8261997405966277,0.900990099009901,0.8619756427604871,0.6570397111913358,0.16031746031746033,707
13,Type Mean,0.9879516592176165,0.8266565885613504,0.7010443389801164,0.6170519218029349,0.6129804783197614,0.39462301286866797,N/A,890.1111111111111
