,Class/Category,Percent Antisemitic,Accuracy,Precision,Recall,F1,WF1,n,wn
0,Overall,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,ANTISEMITIC EXPRESSION,0.9732262382864793,0.4147392290249433,0.2190563725490196,0.9571619812583668,0.35651957117925703,N/A,0.16938775510204082,N/A
2,TARGETING JEWISH STUDENTS AND STAFF,0.954954954954955,0.381859410430839,0.9875130072840791,0.2590772590772591,0.41046712802768165,N/A,0.8306122448979592,N/A
3,Category Mean,0.9640905966207172,0.3982993197278911,0.6032846899165494,0.608119620167813,0.38349334960346937,0.40132907247988725,N/A,N/A
4,PHYSICAL ASSAULT,0.9827586206896551,0.9934240362811791,0.8782608695652174,0.8706896551724138,0.8744588744588745,0.4420131291028446,0.026303854875283448,116
5,DISCRIMINATION,0.9602446483180428,0.910657596371882,0.42857142857142855,0.6146788990825688,0.5050251256281407,0.33305716652858325,0.07414965986394557,327
6,DESTRUCTION OF JEWISH PROPERTY,0.9897959183673469,0.9505668934240363,0.8849557522123894,0.5102040816326531,0.6472491909385113,0.4333694474539545,0.08888888888888889,392
7,GENOCIDAL EXPRESSION,0.9969104016477858,0.8802721088435375,0.655003498950315,0.9639546858908342,0.78,0.46683291770573565,0.2201814058956916,971
8,SUPPRESSION OF SPEECH/MOVEMENT/ASSEMBLY,0.9176954732510288,0.7854875283446712,0.7072419106317411,0.37777777777777777,0.4924892703862661,0.3558139534883721,0.2755102040816326,1215
9,BULLYING,0.9759717314487633,0.7780045351473923,0.9052044609665427,0.3441696113074205,0.4987199180747568,0.34514528703047487,0.32086167800453513,1415
10,DENIGRATION,0.9574468085106383,0.7224489795918367,0.5464535464535465,0.775886524822695,0.6412661195779601,0.43198420533070087,0.3197278911564626,1410
11,HISTORICAL,0.9958847736625515,0.7956916099773242,0.6460409019402202,0.8449931412894376,0.7322436849925705,0.4924060751398881,0.3306122448979592,1458
12,CONDONING TERRORISM,0.9702970297029703,0.9458049886621315,0.8556231003039514,0.7963224893917963,0.8249084249084249,0.6347237880496054,0.16031746031746033,707
13,Type Mean,0.9718894895109759,0.8624842529604435,0.7230394966217059,0.677630762929733,0.666262289885056,0.4343813310177015,N/A,890.1111111111111
