,Class/Category,Percent Antisemitic,Accuracy,Precision,Recall,F1,WF1,n,wn
0,Overall,0.9970521541950114,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,ANTISEMITIC EXPRESSION,1.0,0.3235827664399093,0.19319429198682767,0.9424364123159303,0.32065588704167614,N/A,0.16938775510204082,N/A
2,TARGETING JEWISH STUDENTS AND STAFF,0.9964509964509964,0.32063492063492066,0.9428950863213812,0.19383019383019384,0.32155797101449274,N/A,0.8306122448979592,N/A
3,Category Mean,0.9982254982254982,0.322108843537415,0.5680446891541044,0.5681333030730621,0.32110692902808446,0.32140516903542377,N/A,N/A
4,PHYSICAL ASSAULT,1.0,0.9532879818594104,0.3228346456692913,0.7068965517241379,0.44324324324324327,0.22714681440443213,0.026303854875283448,116
5,DISCRIMINATION,1.0,0.618140589569161,0.10803004043905257,0.5718654434250765,0.18172983479105928,0.10124526258798051,0.07414965986394557,327
6,DESTRUCTION OF JEWISH PROPERTY,1.0,0.8458049886621315,0.3424507658643326,0.798469387755102,0.4793261868300153,0.2652542372881356,0.08888888888888889,392
7,GENOCIDAL EXPRESSION,0.995880535530381,0.6430839002267573,0.11395646606914213,0.09165808444902163,0.10159817351598173,0.0761986301369863,0.2201814058956916,971
8,SUPPRESSION OF SPEECH/MOVEMENT/ASSEMBLY,0.9950617283950617,0.7793650793650794,0.6338495575221239,0.47160493827160493,0.5408211420481359,0.41962651043573784,0.2755102040816326,1215
9,BULLYING,0.9985865724381625,0.6736961451247165,0.4768339768339768,0.1745583038869258,0.2555613036730471,0.1934978456717587,0.32086167800453513,1415
10,DENIGRATION,0.9985815602836879,0.48435374149659866,0.38006662965019433,0.9709219858156029,0.5462889066241021,0.34777086244125494,0.3197278911564626,1410
11,HISTORICAL,0.9972565157750343,0.4689342403628118,0.24771689497716895,0.29766803840877915,0.270404984423676,0.19958611174982754,0.3306122448979592,1458
12,CONDONING TERRORISM,0.9971711456859972,0.9038548752834467,0.7495590828924162,0.6011315417256011,0.6671899529042387,0.5555555555555556,0.16031746031746033,707
13,Type Mean,0.9980597842342581,0.707835726883346,0.3750331177686332,0.5205304750513169,0.38735152533927775,0.2740234263853829,N/A,890.1111111111111
