,Class/Category,Percent Antisemitic,Accuracy,Precision,Recall,F1,WF1,n,wn
0,Overall,0.999092970521542,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,ANTISEMITIC EXPRESSION,1.0,0.22154195011337868,0.17824628653569718,0.9959839357429718,0.30237756553546025,N/A,0.16938775510204082,N/A
2,TARGETING JEWISH STUDENTS AND STAFF,0.9989079989079989,0.22063492063492063,0.9870689655172413,0.06251706251706252,0.11758664955070604,N/A,0.8306122448979592,N/A
3,Category Mean,0.9994539994539995,0.22108843537414966,0.5826576260264693,0.5292504991300172,0.20998210754308314,0.1488879679726134,N/A,N/A
4,PHYSICAL ASSAULT,1.0,0.9380952380952381,0.28493150684931506,0.896551724137931,0.43243243243243246,0.2238966630785791,0.026303854875283448,116
5,DISCRIMINATION,1.0,0.6095238095238096,0.12154096581660337,0.6850152905198776,0.2064516129032258,0.1220708446866485,0.07414965986394557,327
6,DESTRUCTION OF JEWISH PROPERTY,1.0,0.8333333333333334,0.3145945945945946,0.7423469387755102,0.4419134396355353,0.24946420917273895,0.08888888888888889,392
7,GENOCIDAL EXPRESSION,1.0,0.8433106575963719,0.6021897810218978,0.8496395468589083,0.7048269970098249,0.42935206869633097,0.2201814058956916,971
8,SUPPRESSION OF SPEECH/MOVEMENT/ASSEMBLY,0.9967078189300411,0.71859410430839,0.49160206718346255,0.6263374485596708,0.5508505247918929,0.3832787710904054,0.2755102040816326,1215
9,BULLYING,1.0,0.7247165532879819,0.6837294332723949,0.2643109540636042,0.381243628950051,0.28290468986384265,0.32086167800453513,1415
10,DENIGRATION,1.0,0.7149659863945578,0.5415084102007597,0.7078014184397163,0.613587457731325,0.40884883244571896,0.3197278911564626,1410
11,HISTORICAL,1.0,0.2829931972789116,0.22337662337662337,0.4718792866941015,0.3032172763331864,0.2064516129032258,0.3306122448979592,1458
12,CONDONING TERRORISM,1.0,0.8918367346938776,0.7860696517412935,0.44695898161244696,0.569882777276826,0.48878576952822894,0.16031746031746033,707
13,Type Mean,0.9996342021033379,0.7285966238347191,0.4499492260063272,0.6323157321846408,0.4671562385627,0.33324537451997316,N/A,890.1111111111111
