,Class/Category,Percent Antisemitic,Accuracy,Precision,Recall,F1,WF1,n,wn
0,Overall,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,ANTISEMITIC EXPRESSION,1.0,0.7009070294784581,0.2693548387096774,0.44712182061579653,0.3361852038248616,N/A,0.16938775510204082,N/A
2,TARGETING JEWISH STUDENTS AND STAFF,0.9991809991809992,0.7002267573696145,0.8695926744553205,0.7518427518427518,0.8064421669106882,N/A,0.8306122448979592,N/A
3,Category Mean,0.9995904995904996,0.7005668934240363,0.569473756582499,0.5994822862292741,0.5713136853677749,0.7267863956124767,N/A,N/A
4,PHYSICAL ASSAULT,1.0,0.9809523809523809,0.626984126984127,0.6810344827586207,0.6528925619834711,0.3487858719646799,0.026303854875283448,116
5,DISCRIMINATION,1.0,0.4231292517006803,0.09350935093509351,0.7798165137614679,0.16699410609037327,0.09125067096081589,0.07414965986394557,327
6,DESTRUCTION OF JEWISH PROPERTY,1.0,0.845578231292517,0.3321718931475029,0.7295918367346939,0.4565043894652833,0.25467497773820125,0.08888888888888889,392
7,GENOCIDAL EXPRESSION,1.0,0.6834467120181406,0.11985688729874776,0.0690010298661174,0.08758169934640522,0.06979166666666667,0.2201814058956916,971
8,SUPPRESSION OF SPEECH/MOVEMENT/ASSEMBLY,1.0,0.7870748299319728,0.6461864406779662,0.5020576131687243,0.5650764242704956,0.4379038047379756,0.2755102040816326,1215
9,BULLYING,0.9992932862190813,0.7009070294784581,0.683206106870229,0.1265017667844523,0.21347644603458557,0.17705242334322452,0.32086167800453513,1415
10,DENIGRATION,0.9985815602836879,0.6045351473922902,0.4416491963661775,0.8964539007092198,0.5917602996254682,0.3803219497517677,0.3197278911564626,1410
11,HISTORICAL,1.0,0.5882086167800453,0.31354166666666666,0.20644718792866942,0.24896608767576509,0.19074778200253487,0.3306122448979592,1458
12,CONDONING TERRORISM,0.9985855728429985,0.8294784580498866,0.48148148148148145,0.8274398868458275,0.6087408949011447,0.4508670520231214,0.16031746031746033,707
13,Type Mean,0.9996067132606409,0.715923406399597,0.41539857226977683,0.5353715798397548,0.399110323265888,0.2688313510218619,N/A,890.1111111111111
