,Class/Category,Percent Antisemitic,Accuracy,Precision,Recall,F1,WF1,n,wn
0,Overall,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,ANTISEMITIC EXPRESSION,1.0,0.6387755102040816,0.2566168009205984,0.5970548862115127,0.358953722334004,N/A,0.16938775510204082,N/A
2,TARGETING JEWISH STUDENTS AND STAFF,0.9989079989079989,0.6378684807256236,0.8871814092953523,0.6461916461916462,0.7477491707471173,N/A,0.8306122448979592,N/A
3,Category Mean,0.9994539994539995,0.6383219954648527,0.5718991051079754,0.6216232662015795,0.5533514465405607,0.6818919825465287,N/A,N/A
4,PHYSICAL ASSAULT,1.0,0.9664399092970521,0.42857142857142855,0.8275862068965517,0.5647058823529412,0.291350531107739,0.026303854875283448,116
5,DISCRIMINATION,1.0,0.47346938775510206,0.10743801652892562,0.8348623853211009,0.1903765690376569,0.10922184436887378,0.07414965986394557,327
6,DESTRUCTION OF JEWISH PROPERTY,1.0,0.8337868480725623,0.30690826727066817,0.6913265306122449,0.4250980392156863,0.23834652594547054,0.08888888888888889,392
7,GENOCIDAL EXPRESSION,1.0,0.8401360544217688,0.6821917808219178,0.5128733264675592,0.5855379188712522,0.3933649289099526,0.2201814058956916,971
8,SUPPRESSION OF SPEECH/MOVEMENT/ASSEMBLY,0.9983539094650206,0.7333333333333333,0.5162364696086594,0.5102880658436214,0.5132450331125827,0.3710353081986834,0.2755102040816326,1215
9,BULLYING,1.0,0.7061224489795919,0.6003372681281619,0.25159010600706716,0.3545816733067729,0.25778421433743665,0.32086167800453513,1415
10,DENIGRATION,0.9985815602836879,0.7163265306122449,0.5593726661687827,0.5312056737588653,0.5449254274281556,0.3664383561643836,0.3197278911564626,1410
11,HISTORICAL,1.0,0.37551020408163266,0.24387351778656127,0.4231824417009602,0.3094282848545637,0.21509499738539306,0.3306122448979592,1458
12,CONDONING TERRORISM,1.0,0.8743764172335601,0.8311688311688312,0.27157001414427157,0.4093816631130064,0.367112810707457,0.16031746031746033,707
13,Type Mean,0.9996594966387453,0.7243890148652053,0.4751220273393263,0.5393871945280269,0.43303116569917977,0.30586809351616984,N/A,890.1111111111111
