,Class/Category,Percent Antisemitic,Accuracy,Precision,Recall,F1,n
0,Overall,0.6883982812268484,N/A,N/A,N/A,N/A,N/A
1,ANTISEMITIC EXPRESSION,0.6705288175876412,0.5367516301126259,0.537359900373599,0.5127748068924539,0.5247795682578291,0.498814463544754
2,TARGETING JEWISH STUDENTS AND STAFF,0.8776978417266187,0.6886484884410196,0.9873646209386282,0.2071185157137448,0.3424100156494523,0.39137522228808536
3,BDS ACTIVITY,0.09581646423751687,0.7797866034380557,0.07622298065984073,0.09041835357624832,0.08271604938271605,0.10981031416716064
4,SUPPRESSION OF SPEECH/MOVEMENT/ASSEMBLY,0.7273954116059379,0.9032305868405454,0.6732283464566929,0.23076923076923078,0.3437185929648241,0.10981031416716064
5,CALLS FOR BDS,0.5816949152542373,0.8166864256075874,0.5925349922239502,0.5166101694915254,0.5519739224918507,0.21858328393598103
6,BDS EVENT,0.3923566878980892,0.8208358032009484,0.23955773955773957,0.2484076433121019,0.24390243902439024,0.11633076467101364
7,BDS VOTE,0.48,0.9754001185536455,0.6517857142857143,0.365,0.46794871794871795,0.02963841138114997
8,DENIGRATION,0.8450704225352113,0.5970657972732661,0.24075743913435527,0.8058350100603622,0.37074751214996526,0.14730290456431536
9,DENYING JEWS SELF-DETERMINATION,0.8593054318788959,0.8270598695909899,0.48808234019501623,0.8023152270703473,0.6069383630852139,0.16641967990515708
10,CONDONING TERRORISM,0.9389473684210526,0.9659158269116775,0.7324478178368121,0.8126315789473684,0.7704590818363274,0.07039122703023118
11,HISTORICAL,0.9967558799675588,0.8316538233550682,0.6763636363636364,0.15085158150851583,0.246684350132626,0.18272080616478956
12,BULLYING,0.9435665914221218,0.9060462359217546,0.7703862660944206,0.4051918735891648,0.5310650887573964,0.13129816241849437
13,DESTRUCTION OF JEWISH PROPERTY,0.9803149606299213,0.9487255483106105,0.4166666666666667,0.905511811023622,0.5707196029776674,0.03764078245406046
14,PHYSICAL ASSAULT,1.0,0.997628927089508,0.8,0.9230769230769231,0.8571428571428571,0.007705986959098993
15,GENOCIDAL EXPRESSION,0.9975990396158463,0.8744813278008299,0.4690265486725664,0.12725090036014405,0.20018885741265344,0.12344398340248963
16,DEMONIZATION,0.6860657676839366,0.689537640782454,0.9490311710193766,0.5330021291696239,0.6826238448719891,0.6264078245406046
17,DISCRIMINATION,0.86328125,0.966212211025489,0.5875,0.3671875,0.4519230769230769,0.03793716656787196
