,Class/Category,Percent Antisemitic,Accuracy,Precision,Recall,F1,n
0,Overall,N/A,N/A,N/A,N/A,N/A,N/A
1,ANTISEMITIC EXPRESSION,1.0,0.6692353289863663,0.6421052631578947,0.7611408199643493,0.6965742251223491,0.498814463544754
2,TARGETING JEWISH STUDENTS AND STAFF,1.0,0.722732661529342,0.964975845410628,0.3025369178341537,0.4606514845776881,0.39137522228808536
3,BDS ACTIVITY,1.0,0.8235032602252519,0.38341968911917096,0.9986504723346828,0.554099588169225,0.10981031416716064
4,SUPPRESSION OF SPEECH/MOVEMENT/ASSEMBLY,1.0,0.9091582691167753,0.7857142857142857,0.23751686909581646,0.36476683937823834,0.10981031416716064
5,CALLS FOR BDS,1.0,0.8820391227030231,0.6774699424986932,0.8786440677966102,0.7650531286894924,0.21858328393598103
6,BDS EVENT,1.0,0.8981920569057499,0.5584725536992841,0.5961783439490446,0.5767097966728281,0.11633076467101364
7,BDS VOTE,1.0,0.9854771784232366,0.8227848101265823,0.65,0.7262569832402235,0.02963841138114997
8,DENIGRATION,1.0,0.7363663307646711,0.32532265242545616,0.7354124748490946,0.45109534094415304,0.14730290456431536
9,DENYING JEWS SELF-DETERMINATION,1.0,0.8971547125074096,0.6765432098765433,0.7319679430097952,0.7031650983746792,0.16641967990515708
10,CONDONING TERRORISM,1.0,0.9693242442205098,0.7757201646090535,0.7936842105263158,0.7845993756503642,0.07039122703023118
11,HISTORICAL,1.0,0.8729994072317724,0.9541062801932367,0.32035685320356855,0.47965998785670916,0.18272080616478956
12,BULLYING,1.0,0.9026378186129224,0.7813267813267813,0.35891647855530473,0.4918793503480278,0.13129816241849437
13,DESTRUCTION OF JEWISH PROPERTY,1.0,0.9097510373443983,0.2784019975031211,0.8779527559055118,0.42274881516587676,0.03764078245406046
14,PHYSICAL ASSAULT,1.0,0.9962951985773563,0.684931506849315,0.9615384615384616,0.8,0.007705986959098993
15,GENOCIDAL EXPRESSION,1.0,0.8734439834024896,0.45569620253164556,0.12965186074429771,0.20186915887850468,0.12344398340248963
16,DEMONIZATION,1.0,0.7941612329579134,0.9872939560439561,0.6801514076176958,0.805434934864827,0.6264078245406046
17,DISCRIMINATION,1.0,0.9688796680497925,0.6916666666666667,0.32421875,0.44148936170212766,0.03793716656787196
