,Class/Category,Percent Antisemitic,Accuracy,Precision,Recall,F1,WF1,n,wn
0,Overall,0.30434782608695654,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,ANTISEMITIC EXPRESSION,0.09090909090909091,0.43478260869565216,0.25,0.09090909090909091,0.13333333333333333,N/A,0.4782608695652174,N/A
2,TARGETING JEWISH STUDENTS AND STAFF,0.5714285714285714,0.7391304347826086,0.6666666666666666,0.2857142857142857,0.4,N/A,0.30434782608695654,N/A
3,Category Mean,0.33116883116883117,0.5869565217391304,0.4583333333333333,0.18831168831168832,0.26666666666666666,0.1855072463768116,N/A,N/A
4,PHYSICAL ASSAULT,,1.0,0.0,0.0,0.0,0.0,0.0,0
5,DISCRIMINATION,,0.9565217391304348,0.0,0.0,0.0,0.0,0.0,0
6,DESTRUCTION OF JEWISH PROPERTY,1.0,0.2608695652173913,0.0,0.0,0.0,0.0,0.043478260869565216,1
7,GENOCIDAL EXPRESSION,,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,0
8,SUPPRESSION OF SPEECH/MOVEMENT/ASSEMBLY,0.4,0.17391304347826086,0.1111111111111111,0.4,0.17391304347826086,0.4444444444444444,0.21739130434782608,5
9,BULLYING,1.0,0.34782608695652173,0.06666666666666667,0.5,0.11764705882352941,0.4,0.08695652173913043,2
10,DENIGRATION,,0.43478260869565216,0.0,0.0,0.0,0.0,0.0,0
11,HISTORICAL,,0.30434782608695654,0.0,0.0,0.0,0.0,0.0,0
12,CONDONING TERRORISM,1.0,0.6086956521739131,0.1,1.0,0.18181818181818182,0.6666666666666666,0.043478260869565216,1
13,Type Mean,,0.4830917874396135,0.0308641975308642,0.2111111111111111,0.05259758712444135,0.40987654320987654,N/A,1.0
