,Class/Category,Percent Antisemitic,Accuracy,Precision,Recall,F1,WF1,n,wn
0,Overall,0.5333333333333333,0.5333333333333333,1.0,0.5333333333333333,0.6956521739130435,N/A,N/A,N/A
1,ANTISEMITIC EXPRESSION,0.5,0.5333333333333333,1.0,0.5,0.6666666666666666,N/A,0.9333333333333333,N/A
2,TARGETING JEWISH STUDENTS AND STAFF,1.0,1.0,1.0,1.0,1.0,N/A,0.06666666666666667,N/A
3,Category Mean,0.75,0.7666666666666666,1.0,0.75,0.8333333333333333,0.6888888888888889,N/A,N/A
4,PHYSICAL ASSAULT,,1.0,0.0,0.0,0.0,0.0,0.0,0
5,DISCRIMINATION,,1.0,0.0,0.0,0.0,0.0,0.0,0
6,DESTRUCTION OF JEWISH PROPERTY,1.0,0.2,0.07692307692307693,1.0,0.14285714285714285,0.6666666666666666,0.06666666666666667,1
7,GENOCIDAL EXPRESSION,,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0
8,SUPPRESSION OF SPEECH/MOVEMENT/ASSEMBLY,,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0
9,BULLYING,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.06666666666666667,1
10,DENIGRATION,,0.2,0.0,0.0,0.0,0.0,0.0,0
11,HISTORICAL,,0.0,0.0,0.0,0.0,0.0,0.0,0
12,CONDONING TERRORISM,1.0,0.3333333333333333,0.09090909090909091,1.0,0.16666666666666666,1.0,0.06666666666666667,1
13,Type Mean,,0.4148148148148148,0.018648018648018648,0.2222222222222222,0.03439153439153439,0.5555555555555555,N/A,0.3333333333333333
