,Class/Category,Percent Antisemitic,Accuracy,Precision,Recall,F1,WF1,n,wn
0,Overall,0.23076923076923078,0.3076923076923077,1.0,0.25,0.4,N/A,N/A,N/A
1,ANTISEMITIC EXPRESSION,0.22727272727272727,0.3076923076923077,1.0,0.18181818181818182,0.3076923076923077,N/A,0.8461538461538461,N/A
2,TARGETING JEWISH STUDENTS AND STAFF,0.5,0.9230769230769231,0.5,0.5,0.5,N/A,0.07692307692307693,N/A
3,Category Mean,0.36363636363636365,0.6153846153846154,0.75,0.34090909090909094,0.40384615384615385,0.29881656804733725,N/A,N/A
4,PHYSICAL ASSAULT,,1.0,0.0,0.0,0.0,0.0,0.0,0
5,DISCRIMINATION,,0.9615384615384616,0.0,0.0,0.0,0.0,0.0,0
6,DESTRUCTION OF JEWISH PROPERTY,,0.9615384615384616,0.0,0.0,0.0,0.0,0.0,0
7,GENOCIDAL EXPRESSION,1.0,0.8461538461538461,0.2,1.0,0.3333333333333333,0.6666666666666666,0.038461538461538464,1
8,SUPPRESSION OF SPEECH/MOVEMENT/ASSEMBLY,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.038461538461538464,1
9,BULLYING,,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0
10,DENIGRATION,,0.8846153846153846,0.0,0.0,0.0,0.0,0.0,0
11,HISTORICAL,1.0,0.9615384615384616,0.0,0.0,0.0,0.0,0.038461538461538464,1
12,CONDONING TERRORISM,0.0,0.9615384615384616,0.0,0.0,0.0,0.0,0.038461538461538464,1
13,Type Mean,,0.9358974358974359,0.022222222222222223,0.1111111111111111,0.037037037037037035,0.16666666666666666,N/A,0.4444444444444444
