,Class/Category,Percent Antisemitic,Accuracy,Precision,Recall,F1,WF1,n,wn
0,Overall,0.1,0.0,0.0,0.0,0.0,N/A,N/A,N/A
1,ANTISEMITIC EXPRESSION,0.0,0.2,0.0,0.0,0.0,N/A,0.7,N/A
2,TARGETING JEWISH STUDENTS AND STAFF,0.0,0.8,0.0,0.0,0.0,N/A,0.2,N/A
3,Category Mean,0.0,0.5,0.0,0.0,0.0,0.0,N/A,N/A
4,PHYSICAL ASSAULT,,1.0,0.0,0.0,0.0,0.0,0.0,0
5,DISCRIMINATION,,1.0,0.0,0.0,0.0,0.0,0.0,0
6,DESTRUCTION OF JEWISH PROPERTY,,1.0,0.0,0.0,0.0,0.0,0.0,0
7,GENOCIDAL EXPRESSION,,1.0,0.0,0.0,0.0,0.0,0.0,0
8,SUPPRESSION OF SPEECH/MOVEMENT/ASSEMBLY,,0.9,0.0,0.0,0.0,0.0,0.0,0
9,BULLYING,0.0,0.9,0.0,0.0,0.0,0.0,0.1,1
10,DENIGRATION,0.0,0.7,0.0,0.0,0.0,0.0,0.2,2
11,HISTORICAL,,1.0,0.0,0.0,0.0,0.0,0.0,0
12,CONDONING TERRORISM,,1.0,0.0,0.0,0.0,0.0,0.0,0
13,Type Mean,,0.9444444444444444,0.0,0.0,0.0,0.0,N/A,0.3333333333333333
