,Class/Category,Percent Antisemitic,Accuracy,Precision,Recall,F1,WF1,n,wn
0,Overall,0.24242424242424243,0.24242424242424243,0.875,0.22580645161290322,0.358974358974359,N/A,N/A,N/A
1,ANTISEMITIC EXPRESSION,0.17857142857142858,0.24242424242424243,0.7142857142857143,0.17857142857142858,0.2857142857142857,N/A,0.8484848484848485,N/A
2,TARGETING JEWISH STUDENTS AND STAFF,0.6666666666666666,0.8787878787878788,0.0,0.0,0.0,N/A,0.09090909090909091,N/A
3,Category Mean,0.4226190476190476,0.5606060606060606,0.35714285714285715,0.08928571428571429,0.14285714285714285,0.24242424242424243,N/A,N/A
4,PHYSICAL ASSAULT,,1.0,0.0,0.0,0.0,0.0,0.0,0
5,DISCRIMINATION,,0.9696969696969697,0.0,0.0,0.0,0.0,0.0,0
6,DESTRUCTION OF JEWISH PROPERTY,,1.0,0.0,0.0,0.0,0.0,0.0,0
7,GENOCIDAL EXPRESSION,1.0,0.9696969696969697,0.5,1.0,0.6666666666666666,0.6666666666666666,0.030303030303030304,1
8,SUPPRESSION OF SPEECH/MOVEMENT/ASSEMBLY,0.0,0.9393939393939394,0.0,0.0,0.0,0.0,0.030303030303030304,1
9,BULLYING,0.0,0.9393939393939394,0.0,0.0,0.0,0.0,0.030303030303030304,1
10,DENIGRATION,1.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.030303030303030304,1
11,HISTORICAL,,0.9696969696969697,0.0,0.0,0.0,0.0,0.0,0
12,CONDONING TERRORISM,0.5,0.9393939393939394,0.5,0.5,0.5,0.5,0.06060606060606061,2
13,Type Mean,,0.9494949494949496,0.1111111111111111,0.16666666666666666,0.12962962962962962,0.27777777777777773,N/A,0.6666666666666666
